学年,対象の漢字,問題,答え
小４,航,船がシュッコウする,出航
小４,康,ケンコウ第一,健康
小４,康,トクガワ家康,康
小４,康,ケンコウ診断,健康
小４,告,コクチ板を見る,告知
小４,告,ホウコク書をまとめる,報告
小４,告,別れをツげる,告
小４,差,コウサテンを曲がる,交差点
小４,差,サガクを計算する,差額
小４,差,傘をサす,差
小４,菜,ヤサイを育てる,野菜
小４,菜,ハクサイを切る,白菜
小４,菜,ナノハナが咲く,菜
小４,最,サイゴの試合,最後
小４,最,サイショの挨拶,最初
小４,最,モットも大切なこと,最
小４,材,モクザイを運ぶ,木材
小４,材,カレーのザイリョウ,材料
小４,材,ソザイを生かす,素材
小４,昨,サクジツの出来事,昨日
小４,昨,サクネンはありがとう,昨年
小４,昨,サクヤはよく眠れた,昨夜
小４,札,ナフダをつける,名札
小４,札,サツタバを数える,札束
小４,札,カイサツを通る,改札
小４,刷,プリントをインサツする,印刷
小４,刷,制度をサッシンする,刷新
小４,刷,ポスターをスる,刷
小４,殺,サツジン事件,殺人
小４,殺,息をコロす,殺
小４,殺,ヒッサツ技,必殺
小４,察,植物のカンサツ,観察
小４,察,ケイサツを呼ぶ,警察
小４,察,現場のシサツ,視察
小４,参,大会にサンカする,参加
小４,参,サンコウ書を買う,参考
小４,参,お墓にマいります,参
小４,産,サンギョウが発達する,産業
小４,産,米をセイサンする,生産
小４,産,卵をウむ,産
小４,散,公園をサンポする,散歩
小４,散,花がチる,散
小４,散,チームがカイサンする,解散
小４,残,ザンネンな結果,残念
小４,残,ご飯がノコる,残
小４,残,口座のザンダカ,残高
小４,士,昔のブシ,武士
小４,士,強いリキシ,力士
小４,士,ウンテンシの仕事,運転士
小４,氏,シメイを書く,氏名
小４,氏,両シの意見,氏
小４,氏,ウジより育ち,氏
小４,史,レキシを学ぶ,歴史
小４,史,ニホンシの授業,日本史
小４,史,シジョウ最大の作戦,史上
小４,司,番組のシカイ,司会
小４,司,図書館のシショ,司書
小４,司,会社のジョウシ,上司
小４,試,シケン勉強をする,試験
小４,試,野球のシアイ,試合
小４,試,新しい方法をタメす,試
小４,児,ジドウ公園,児童
小４,児,ヨウジ向けの絵本,幼児
小４,児,ショウニカの病院,小児
小４,治,セイジに興味を持つ,政治
小４,治,病気がナオる,治
小４,治,虫歯のチリョウ,治療
小４,辞,ジショを引く,辞書
小４,辞,出場をジタイする,辞退
小４,辞,会社をヤめる,辞
小４,失,シッパイを恐れない,失敗
小４,失,自信をウシナう,失
小４,失,シツレイな態度,失礼
小４,借,シャッキンを返す,借金
小４,借,本をカりる,借
小４,借,シャクヤに住む,借家
小４,種,シュルイを分ける,種類
小４,種,花のタネをまく,種
小４,種,新しいヒンシュ,品種
小４,周,シュウイを見渡す,周囲
小４,周,池のマワり,周
小４,周,グラウンドをイッシュウする,一周
小４,祝,明日はシュクジツだ,祝日
小４,祝,誕生日をイワう,祝
小４,祝,シュクガ会を開く,祝賀
小４,順,ジュンバンを待つ,順番
小４,順,ジュンイが上がる,順位
小４,順,ジュウジュンな態度,従順
小４,初,サイショのページ,最初
小４,初,ハジめての経験,初
小４,初,ショカの風,初夏
小４,松,マツの木を植える,松
小４,松,ショウチクバイの飾り,松竹梅
小４,松,お正月のカドマツ,門松
小４,笑,大声でワラう,笑
小４,笑,テレビを見てバクショウする,爆笑
小４,笑,エガオを見せる,笑顔
小４,唱,全員でガッショウする,合唱
小４,唱,呪文をトナえる,唱
小４,唱,ドクショウを披露する,独唱
小４,焼,ヤき肉を食べる,焼
小４,焼,ヤネを修理する,屋根
小４,焼,ネンショウ実験,燃焼
小４,象,動物園のゾウ,象
小４,象,タイショウを絞る,対象
小４,象,不思議なゲンショウ,現象
小４,照,ショウメイを消す,照明
小４,照,太陽がテラス,照
小４,照,タイショウ的な二人,対照
小４,賞,ショウヒンをもらう,賞品
小４,賞,ショウサンを浴びる,賞賛
小４,賞,ノーベル賞をジュショウする,受賞
小４,臣,総理ダイジン,大臣
小４,臣,王に仕えるカシン,家臣
小４,臣,国務ダイジン,大臣
小４,信,言葉をシンじる,信
小４,信,シンゴウを守る,信号
小４,信,ジシンを持つ,自信
小４,成,計画がセイコウする,成功
小４,成,子供がセイチョウする,成長
小４,成,立派な大人にナる,成
小４,省,自分の行動をハンセイする,反省
小４,省,手間をハブく,省
小４,省,説明をショウリャクする,省略
小４,清,セイケツに保つ,清潔
小４,清,キヨい心,清
小４,清,部屋をセイソウする,清掃
小４,静,セイシした画像,静止
小４,静,シズかな場所,静
小４,静,アンセイにする,安静
小４,席,ザセキに座る,座席
小４,席,授業をケッセキする,欠席
小４,席,セキニンを果たす,責任
小４,積,タイセキを求める,体積
小４,積,雪がツモる,積
小４,積,セッキョク的に参加する,積極
小４,折,セッカクの機会,折角
小４,折,木の枝をオる,折
小４,折,交差点をウセツする,右折
小４,節,キセツが変わる,季節
小４,節,電気をセツヤクする,節約
小４,節,体のフシブシが痛い,節々
小４,説,セツメイを聞く,説明
小４,説,ショウセツを読む,小説
小４,説,教えをトく,説
小４,浅,センカイの魚,浅海
小４,浅,川の底がアサい,浅
小４,浅,センハカな考え,浅薄
小４,戦,センソウが終わる,戦争
小４,戦,敵とタタカう,戦
小４,戦,サクセンを立てる,作戦
小４,選,センキョで投票する,選挙
小４,選,好きな色をエラぶ,選
小４,選,代表センシュ,選手
小４,然,シゼンを大切にする,自然
小４,然,トウゼンの結果,当然
小４,然,テンネンの記念物,天然
小４,争,センソウの悲劇,戦争
小４,争,勝敗をアラソう,争
小４,争,フンソウを解決する,紛争
小４,倉,ソウコにしまう,倉庫
小４,倉,米をクラに収める,倉
小４,倉,コメグラに保管する,米倉
小４,巣,スバコを作る,巣箱
小４,巣,雛がスダちを迎える,巣
小４,巣,トリノスを見つける,鳥の巣
小４,束,ハナタバを贈る,花束
小４,束,ヤクソクを守る,約束
小４,束,髪をタバねる,束
小４,側,ソクメンから見る,側面
小４,側,線のウチガワ,内側
小４,側,ミギガワを通行する,右側
小４,続,レンゾクして勝つ,連続
小４,続,まだ道はツヅく,続
小４,続,問題がゾクシュツする,続出
小４,卒,ソツギョウ式に出る,卒業
小４,卒,ソッチョクな意見,率直
小４,卒,コウソツの資格,高卒
小４,孫,シソンを残す,子孫
小４,孫,マゴと遊ぶ,孫
小４,孫,ヒマゴの顔を見る,ひ孫
小４,帯,ネッタイの植物,熱帯
小４,帯,着物のオビ,帯
小４,帯,オンタイの気候,温帯
小４,隊,グンタイの行進,軍隊
小４,隊,探検隊のタイチョウ,隊長
小４,隊,タイレツを組む,隊列
小４,達,技術がハッタツする,発達
小４,達,トモダチと遊ぶ,友達
小４,達,目標をタッセイする,達成
小４,単,タンジュンな計算,単純
小４,単,長さのタンイ,単位
小４,単,英タンゴを覚える,単語
小４,置,イチを確かめる,位置
小４,置,本を机にオく,置
小４,置,安全ソウチ,装置
小４,仲,ナカマと協力する,仲間
小４,仲,ナカヨしな兄弟,仲良
小４,仲,チュウカイ手数料,仲介
小４,貯,チョキン箱に入れる,貯金
小４,貯,チョスイ池の水,貯水
小４,貯,チョチクを増やす,貯蓄
小４,兆,回復のチョウコウ,兆候
小４,兆,春のキザし,兆
小４,兆,イッチョウ円の予算,兆
小４,腸,イチョウの調子が悪い,胃腸
小４,腸,ダイチョウの検査,大腸
小４,腸,ショウチョウの働き,小腸
小４,低,視力がテイカする,低下
小４,低,背がヒクい,低
小４,低,テイオンやけど,低温
小４,底,カイテイを調査する,海底
小４,底,コップのソコ,底
小４,底,テイヘンの長さ,底辺
小４,停,車がテイシする,停止
小４,停,テイデンで真っ暗になる,停電
小４,停,テイシャ駅を確認する,停車
小４,的,モクテキの場所,目的
小４,的,マトに向かって投げる,的
小４,的,予想がテキチュウする,的中
小４,典,国語ジテンを引く,辞典
小４,典,コテンの授業,古典
小４,典,サイテンに参加する,祭典
小４,伝,デンゴンを頼む,伝言
小４,伝,気持ちをツタえる,伝
小４,伝,昔からのデンセツ,伝説
小４,徒,トホで通う,徒歩
小４,徒,中学校のセイト,生徒
小４,徒,トウトを組む,徒党
小４,努,ドリョクが実る,努力
小４,努,仕事にツトめる,努
小４,努,ツトめて明るくする,努
小４,灯,デントウのスイッチ,電灯
小４,灯,トウダイの明かり,灯台
小４,灯,街のアカリ,灯
小４,堂,ショクドウでご飯を食べる,食堂
小４,堂,コウドウに集まる,講堂
小４,堂,ドウゾウを建てる,銅像
小４,働,ロウドウ時間,労働
小４,働,一生懸命にハタラく,働
小４,働,ハタラき者,働き
小４,特,トクベツな日,特別
小４,特,トクチョウをとらえる,特徴
小４,特,トクテンがつく,特典
小４,得,説明にナットクする,納得
小４,得,許可をエる,得
小４,得,トクテンを競う,得点
小４,毒,ユウドクなガス,有毒
小４,毒,ドクヤクを飲む,毒薬
小４,毒,ドクケしを飲む,毒消
小４,熱,ネッタイの海,熱帯
小４,熱,アツいお茶,熱
小４,熱,スポーツにネッチュウする,熱中
小４,念,ザンネンな結果,残念
小４,念,キネン写真を撮る,記念
小４,念,ネンブツを唱える,念仏
小４,敗,シッパイから学ぶ,失敗
小４,敗,試合にヤブれる,敗
小４,敗,ハイボクを認める,敗北
小４,梅,ウメの花が咲く,梅
小４,梅,バイウの時期,梅雨
小４,梅,バイカを愛でる,梅花
小４,博,ハクブツカンに行く,博物館
小４,博,物知りなハカセ,博士
小４,博,ハクランカイが開かれる,博覧会
小４,飯,ゴハンを食べる,ご飯
小４,飯,セキハンを炊く,赤飯
小４,飯,スイハンキでお米を炊く,炊飯
小４,飛,ヒコウキが離陸する,飛行機
小４,飛,空をトぶ,飛
小４,飛,空をトび回る,飛
小４,費,ヒヨウがかかる,費用
小４,費,エネルギーのショウヒ,消費
小４,費,ガクヒを払う,学費
小４,必,ヒッシに頑張る,必死
小４,必,カナラず勝つ,必
小４,必,ヒツヨウな持ち物,必要
小４,票,トウヒョウ箱に入れる,投票
小４,票,デンピョウを整理する,伝票
小４,票,ヒョウカが高い,評価
小４,標,ヒョウシキを見る,標識
小４,標,モクヒョウを達成する,目標
小４,標,昆虫のヒョウホン,標本
小４,不,フアンな気持ち,不安
小４,不,睡眠がフソクする,不足
小４,不,フベンな生活,不便
小４,夫,フウフで出かける,夫婦
小４,夫,オットの仕事,夫
小４,夫,ジョウブな体,丈夫
小４,付,駅のフキン,付近
小４,付,服にシミがツける,付
小４,付,ウケツケで待つ,受付
小４,府,トドウフケンを覚える,都道府県
小４,府,江戸バクフ,幕府
小４,府,セイフの発表,政府
小４,副,フクシャチョウの挨拶,副社長
小４,副,フクサヨウに注意する,副作用
小４,副,フクジュウを誓う,服従
小４,粉,コムギコをこねる,小麦粉
小４,粉,コナをまぶす,粉
小４,粉,カフンが飛ぶ,花粉
小４,兵,ヘイシが整列する,兵士
小４,兵,ヘイタイの行進,兵隊
小４,兵,ヘイキを捨てる,兵器
小４,別,トクベツなプレゼント,特別
小４,別,友人とワカれる,別
小４,別,ベツベツに帰る,別々
小４,辺,シュウヘンを探す,周辺
小４,辺,このアタりは静かだ,辺
小４,辺,三角形のヘン,辺
小４,変,ヘンカが激しい,変化
小４,変,予定がカわる,変
小４,変,ヘンショクする,変色
小４,便,ユウビン局に行く,郵便
小４,便,ベンリな道具,便利
小４,便,フナビンで送る,船便
小４,包,ホウタイを巻く,包帯
小４,包,ホウチョウで切る,包丁
小４,包,プレゼントをツツむ,包
小４,法,ホウリツを守る,法律
小４,法,ホウホウを考える,方法
小４,法,英語のブンポウ,文法
小４,望,キボウを持つ,希望
小４,望,ボウエンキョウをのぞく,望遠鏡
小４,望,成功をノゾむ,望
小４,牧,ボクジョウの牛,牧場
小４,牧,ボクチクが盛ん,牧畜
小４,牧,羊をホウボクする,放牧
小４,末,シュウマツに出かける,週末
小４,末,スエっ子,末
小４,末,物語のケツマツ,結末
小４,満,テストでマンテンを取る,満点
小４,満,潮がミちる,満
小４,満,マンゾクな結果,満足
小４,未,ミライを夢見る,未来
小４,未,十八歳ミマン,未満
小４,未,ミチの世界,未知
小４,脈,ドウミャクと静脈,動脈
小４,脈,ジョウミャクの血,静脈
小４,脈,サンミャクを超える,山脈
小４,民,コクミンの祝日,国民
小４,民,ミンシュ主義,民主
小４,民,シミンホール,市民
小４,無,ムリなお願い,無理
小４,無,ムダをなくす,無駄
小４,無,何もナい,無
小４,約,ヤクソクの時間を守る,約束
小４,約,ヤク一時間かかる,約
小４,約,水をセツヤクする,節約
小４,勇,ユウキを出す,勇気
小４,勇,伝説のユウシャ,勇者
小４,勇,イサましい姿,勇
小４,要,ヒツヨウなものを買う,必要
小４,要,ジュウヨウな会議,重要
小４,要,扇のカナメ,要
小４,養,エイヨウをとる,栄養
小４,養,家族をヤシナう,養
小４,養,ヨウゴ学校,養護
小４,浴,カイスイヨクに行く,海水浴
小４,浴,ニッコウヨクをする,日光浴
小４,浴,シャワーをアびる,浴
小４,利,ベンリな機能,便利
小４,利,図書館をリヨウする,利用
小４,利,銀行のリシ,利子
小４,陸,タイリクの気候,大陸
小４,陸,リクジョウ競技,陸上
小４,陸,台風がジョウリクする,上陸
小４,良,フリョウ品を省く,不良
小４,良,ヨい行い,良
小４,良,リョウコウな状態,良好
小４,料,リョウリを作る,料理
小４,料,ザイリョウを刻む,材料
小４,料,ムリョウで配る,無料
小４,量,ジュウリョウ制限,重量
小４,量,重さをハカる,量
小４,量,タイリョウの注文,大量
小４,輪,シャリンが回る,車輪
小４,輪,ワになる,輪
小４,輪,ユビワをはめる,指輪
小４,類,シュルイが多い,種類
小４,類,ルイルイまれな才能,類
小４,類,ジンルイの進化,人類
小４,令,メイレイに従う,命令
小４,令,ゴウレイをかける,号令
小４,令,レイワの時代,令和
小４,冷,レイゾウコに入れる,冷蔵庫
小４,冷,ツメたい飲み物,冷
小４,冷,体がヒえる,冷
小４,例,レイガイを認める,例外
小４,例,タトえばの話,例
小４,例,レイダイを解く,例題
小４,歴,レキシを学ぶ,歴史
小４,歴,レキダイの首相,歴代
小４,歴,リュウガクレキがある,留学歴
小４,連,レンキュウが続く,連休
小４,連,山々がツラなる,連
小４,連,レンゾクして起きる,連続
小４,老,ロウジンの知恵,老人
小４,老,年をオいる,老
小４,老,ケイロウの日,敬老
小４,労,ロウドウ条件,労働
小４,労,クロウが報われる,苦労
小４,労,ロウドウ組合,労働
小４,録,キロクを更新する,記録
小４,録,ロクオンする,録音
小４,録,会員トウロクする,登録
小５,圧,アツリョクをかける,圧力
小５,圧,ケツアツを測る,血圧
小５,圧,キアツの変化,気圧
小５,移,別の場所にウツる,移
小５,移,お店がイテンする,移転
小５,移,机をイドウさせる,移動
小５,因,失敗のゲンイン,原因
小５,因,インガ関係を調べる,因果
小５,因,ヨウインを分析する,要因
小５,永,エイエンの愛,永遠
小５,永,エイキュウ保存,永久
小５,永,エイミンする,永眠
小５,営,店をイトナむ,営
小５,営,会社をケイエイする,経営
小５,営,エイギョウ中のお店,営業
小５,衛,エイセイ的な環境,衛生
小５,衛,人工エイセイ,衛星
小５,衛,国をボウエイする,防衛
小５,易,ヤサしい問題,易
小５,易,海外とボウエキする,貿易
小５,易,ヨウイに解決する,容易
小５,益,リエキを計算する,利益
小５,益,ユウエキな情報,有益
小５,益,会社のシュウエキ,収益
小５,液,エキタイを混ぜる,液体
小５,液,ケツエキ型,血液
小５,液,エキショウ画面,液晶
小５,演,エンゲキを見る,演劇
小５,演,コウエン会を開く,講演
小５,演,ピアノのエンソウ,演奏
小５,応,選手をオウエンする,応援
小５,応,化学ハンノウ,反応
小５,応,オウヨウ問題,応用
小５,往,オウフク切符,往復
小５,往,車のオウライ,往来
小５,往,ウオウサオウする,右往左往
小５,桜,サクラの花,桜
小５,桜,ヤザクラを見る,夜桜
小５,桜,サクラ前線,桜
小５,恩,オンガエシをする,恩返し
小５,恩,命のオンジン,恩人
小５,恩,小学校のオンシ,恩師
小５,可,フカケツな要素,不可欠
小５,可,カノウ性を信じる,可能
小５,可,先生のキョカ,許可
小５,仮,カリの姿,仮
小５,仮,カセツを立てる,仮説
小５,仮,カナづかい,仮名
小５,価,商品のカカク,価格
小５,価,作品をヒョウカする,評価
小５,価,ブッカが上がる,物価
小５,河,カワのほとり,河
小５,河,大きなカコウ,河口
小５,河,カセン工事,河川
小５,過,カコを振り返る,過去
小５,過,電車がツウカする,通過
小５,過,アヤマちを認める,過
小５,賀,ネンガ状,年賀
小５,賀,シュクガ会,祝賀
小５,賀,ガショウの挨拶,賀正
小５,快,カイテキな部屋,快適
小５,快,ココロヨく引き受ける,快
小５,快,カイセイの空,快晴
小５,解,問題をトく,解
小５,解,カイケツ策,解決
小５,解,内容をリカイする,理解
小５,格,試験にゴウカクする,合格
小５,格,カクシキ高い,格式
小５,格,ジンカクを疑う,人格
小５,確,安全をタシかめる,確
小５,確,カクニンする,確認
小５,確,セイカクな時計,正確
小５,額,ヒタイに汗をかく,額
小５,額,キンガクを計算する,金額
小５,額,ガクブチに飾る,額縁
小５,刊,ユウカンを読む,夕刊
小５,刊,雑誌をカンコウする,刊行
小５,刊,ゲッカン誌,月刊
小５,幹,木のミキ,幹
小５,幹,シンカンセンに乗る,新幹線
小５,幹,カンブが集まる,幹部
小５,慣,シュウカンになる,習慣
小５,慣,仕事にナれる,慣
小５,慣,カンレイに従う,慣例
小５,眼,ガンカを受診する,眼科
小５,眼,ガンキョウをかける,眼鏡
小５,眼,チャクガン点,着眼
小５,基,キホンを学ぶ,基本
小５,基,秘密のキチ,基地
小５,基,事実に基づく,基
小５,寄,港にヨる,寄
小５,寄,キフをする,寄付
小５,寄,キコウする,寄港
小５,規,キソクを守る,規則
小５,規,大規模なキボ,規模
小５,規,キカク外の野菜,規格
小５,技,ギジュツが進歩する,技術
小５,技,見事なエンギ,演技
小５,技,トクギを披露する,特技
小５,義,セイギの味方,正義
小５,義,イギのある活動,意義
小５,義,ギムを果たす,義務
小５,逆,ギャクテン勝利,逆転
小５,逆,親にサカらう,逆
小５,逆,ギャクサンする,逆算
小５,久,ヒサしぶりに会う,久
小５,久,エイキュウ保存,永久
小５,久,タイキュウ性,耐久
小５,旧,キュウカの造り,旧家
小５,旧,シンキュウ交代,新旧
小５,旧,キュウユウとの再会,旧友
小５,居,部屋にイる,居
小５,居,ジュウキョを構える,住居
小５,居,イバショを見つける,居場所
小５,許,罪をユルす,許
小５,許,キョカをもらう,許可
小５,許,車のメンキョ,免許
小５,境,キョウカイ線を引く,境界
小５,境,国境のサカイ,境
小５,境,カンキョウ問題,環境
小５,均,テストのヘイキン,平均
小５,均,キンイツな価格,均一
小５,均,キントウに分ける,均等
小５,禁,立ち入りキンシ,禁止
小５,禁,火気ゲンキン,厳禁
小５,禁,キンクを言う,禁句
小５,句,ゴクの意味,語句
小５,句,クトウテンを打つ,句読点
小５,句,ハイクを詠む,俳句
小５,群,タイグンで押し寄せる,大群
小５,群,羊のムれ,群
小５,群,グンシュウ心理,群衆
小５,経,時間がケイカする,経過
小５,経,時をヘる,経
小５,経,ケイケンを積む,経験
小５,潔,セイケツな服,清潔
小５,潔,ケッパクを証明する,潔白
小５,潔,ケッペキな性格,潔癖
小５,件,ジケンを解決する,事件
小５,件,ジョウケンに合う,条件
小５,件,ヨウケンを伝える,用件
小５,券,ジョウシャケンを買う,乗車券
小５,券,ワリビキケンを使う,割引券
小５,券,ショッケンを買う,食券
小５,険,キケンな場所,危険
小５,険,生命ホケン,保険
小５,険,ケワしい山道,険
小５,検,身体ケンサ,検査
小５,検,仮説をケンショウする,検証
小５,検,ネットでケンサクする,検索
小５,限,人数をカギる,限
小５,限,体力のゲンカイ,限界
小５,限,時間をセイゲンする,制限
小５,現,ゲンダイの若者,現代
小５,現,正体をアラワす,現
小５,現,ゲンジツを受け入れる,現実
小５,減,人口がゲンショウする,減少
小５,減,体重がヘる,減
小５,減,火のカゲン,加減
小５,故,コジンをしのぶ,故人
小５,故,交通ジコ,事故
小５,故,コキョウに帰る,故郷
小５,個,コジン情報を守る,個人
小５,個,リンゴのコスウ,個数
小５,個,コセイを伸ばす,個性
小５,護,自然をホゴする,保護
小５,護,ゴエイをつける,護衛
小５,護,カンゴの仕事,看護
小５,効,薬のコウカ,効果
小５,効,キき目がある,効
小５,効,コウリョクを発揮する,効力
小５,厚,アツい本,厚
小５,厚,ブアツい雲,分厚
小５,厚,オンコウな人,温厚
小５,耕,畑をタガヤす,耕
小５,耕,コウサク地,耕作
小５,耕,ノウコウ民族,農耕
小５,鉱,コウザンで働く,鉱山
小５,鉱,コウセキを掘る,鉱石
小５,鉱,テッコウ石,鉄鉱
小５,構,チームのコウセイ,構成
小５,構,立派な門ガマえ,構
小５,構,建物のコウゾウ,構造
小５,興,キョウミを持つ,興味
小５,興,町のフッコウ,復興
小５,興,試合にコウフンする,興奮
小５,講,大学のコウギ,講義
小５,講,コウシュウ会,講習
小５,講,コウエンを聞く,講演
小５,混,道がコンザツする,混雑
小５,混,色がマざる,混
