英単語,発音,品詞,日本語訳,細かい発音,単元
pet,[ペットゥ],名,ペット,[pe（ペ）][t（トゥ）],DAY5
pig,[ピッグ],名,ブタ,[pi（ピ）][g（グ）]  ※ [p(プ)]  [i(イ)],DAY5
red,[レッドゥ],名,赤/赤色,[re（レ）][d（ドゥ）]  ※ [r(ル)]  [e(エ)],DAY5
red,[レッドゥ],形,赤い,[re（レ）][d（ドゥ）]  ※ [r(ル)]  [e(エ)],DAY5
run,[ラン],動,走る/経営する,[ru（ラ）][n（ン）]  ※ [r(ル)]  [u(ア)],DAY5
sad,[サッドゥ],形,悲しい,[sa（サ）][d（ドゥ）]  ※ [s(ス)]  [a(ア)],DAY5
sit,[スィットゥ],動,座る,[si（スィ）][t（トゥ）]  ※ [s(ス)]  [i(イ)],DAY6
six,[スィックス],名,6,[si（スィ）][x（クス）],DAY6
son,[サン],名,息子,[so（サ）][n（ン）]  ※ [s(ス)]  [o(ア)],DAY6
sun,[サン],名,太陽,[su（サ）][n（ン）]  ※ [s(ス)]  [u(ア)],DAY6
ten,[テン],名,10,[te（テ）][n（ン）]  ※ [t(トゥ)]  [e(エ)],DAY6
top,[トップ],名,頂上/一番上,[to（ト）][p（プ）]  ※ [t(トゥ)]  [o(オ)],DAY6
wet,[ウェットゥ],形,ぬれている,[we（ウェ）][t（トゥ）]  ※ [w(ウ)]  [e(エ)],DAY6
win,[ウィン],動,勝つ/優勝する,[wi（ウィ）][n（ン）]  ※ [w(ウ)]  [i(イ)],DAY6
yen,[イェン],名,円,[y（イ）][e（エ）][n（ン）],DAY6
yes,[イェス],副,はい,[y（イ）][e（エ）][s（ス）],DAY6
yet,[イェットゥ],副,（否定文で）まだ/(疑問文で）もう,[y（イ）][e（エ）][t（トゥ）],DAY7
back,[バック],副,後ろに/戻って,[ba（バ）][ck（ク）]  ※ [b(ブ)]  [a(ア)],DAY7
back,[バック],名,背中,[ba（バ）][ck（ク）]  ※ [b(ブ)]  [a(ア)],DAY7
ball,[ボール],名,ボール,[b（ブ）][al（オー）][l（ル）],DAY7
bank,[バンク],名,銀行,[ba（バ）][n（ン）][k（ク）],DAY7
bath,[バス],名,風呂/入浴,[ba（バ）][th（ス）],DAY7
call,[コール],動,電話する/呼ぶ,[cal（コー）][l（ル）]  ※ [c(ク)]  [al(オー)],DAY7
camp,[キャンプ],動,キャンプをする,[ca（キャ）][m（ン）][p（プ）]  ※ [c(ク)]  [a(ア)],DAY7
club,[クラブ],名,クラブ/部活,[c（ク）][lu（ラ）][b（ブ）]  ※ [l(ル)]  [u(ア)],DAY7
club,[クラブ],動,,[c（ク）][lu（ラ）][b（ブ）]  ※ [l(ル)]  [u(ア)],DAY7
desk,[デスク],名,机,[de（デ）][s（ス）][k（ク）]  ※ [d(ドゥ)]  [e(エ)],DAY7
doll,[ドール],名,人,[do（ド）][ll（ル）]  ※ [d(ドゥ)]  [o(オ)],DAY7
doll,[ドール],形,,[do（ド）][ll（ル）]  ※ [d(ドゥ)]  [o(オ)],DAY7
drop,[ドゥロップ],動,落とす/落ちる,[d（ドゥ）][ro（ロ）][p（プ）]  ※ [r(ル)]  [o(オ)],DAY8
drum,[ドゥラム],名,たいこ/ドラム,[d（ドゥ）][ru（ラ）][m（ム）]  ※ [r(ル)]  [u(ア)],DAY8
fall,[フォール],名,秋,[fal（フォー）][l（ル）]  ※ [f(フ)]  [al(オー)],DAY8
fall,[フォール],動,落ちる,[fal（フォー）][l（ル）]  ※ [f(フ)]  [al(オー)],DAY8
fast,[ファストゥ],形,速い,[fa（ファ）][s（ス）][t（トゥ）]  ※ [f(フ)]  [a(ア)],DAY8
fast,[ファストゥ],副,速く,[fa（ファ）][s（ス）][t（トゥ）]  ※ [f(フ)]  [a(ア)],DAY8
from,[フロム],前,～から/～出身,[f（フ）][ro（ロ）][m（ム）],DAY8
full,[フル],形,いっぱいの,[fu（フ）][ll（ル）]  ※ [f(フ)]  [u(ウ)],DAY8
glad,[グラッドゥ],形,うれしい,[g（グ）][la（ラ）][d（ドゥ）]  ※ [l(ル)]  [a(ア)],DAY8
golf,[ゴルフ],名,ゴルフ,[go（ゴ）][l（ル）][f（フ）]  ※ [g(グ)]  [o(オ)],DAY8
hand,[ハンドゥ],名,手,[ha（ハ）][n（ン）][d（ドゥ）]  ※ [h(フ)]  [a(ア)],DAY8
help,[ヘルプ],動,,[he（ヘ）][l（ル）][p(プ)]  ※ [h(フ)]  [e(エ)],DAY8
help,[ヘルプ],助,ける/手伝う,[he（ヘ）][l（ル）][p(プ)]  ※ [h(フ)]  [e(エ)],DAY8
help,[ヘルプ],名,,[he（ヘ）][l（ル）][p(プ)]  ※ [h(フ)]  [e(エ)],DAY8
help,[ヘルプ],助,け,[he（ヘ）][l（ル）][p(プ)]  ※ [h(フ)]  [e(エ)],DAY8
hill,[ヒル],名,丘,[hi（ヒ）][ll（ル）]  ※ [h(フ)]  [i(イ)],DAY9
jump,[ジャンプ],動,跳ぶ/ジャンプする,[ju（ジャ）][m（ン）][p（プ）]  ※ [j(ジュ)]  [u(ア)],DAY9
just,[ジャストゥ],副,ちょうど/たった/ただ～だけ,[ju（ジャ）][s（ス）][t（トゥ）],DAY9
kick,[キック],動,蹴る,[ki（キ）][ck（ク）]  ※ [k(ク)]  [i(イ)],DAY9
kill,[キル],動,殺す,[ki（キ）][ll（ル）],DAY9
last,[ラストゥ],形,,[la（ラ）][s（ス）][t（トゥ）]  ※ [l(ル)]  [a(ア)],DAY9
last,[ラストゥ],前,の/最後の,[la（ラ）][s（ス）][t（トゥ）]  ※ [l(ル)]  [a(ア)],DAY9
last,[ラストゥ],動,続く,[la（ラ）][s（ス）][t（トゥ）]  ※ [l(ル)]  [a(ア)],DAY9
left,[レフトゥ],名,左,[le（レ）][f（フ）][t（トゥ）]  ※ [l(ル)]  [e(エ)],DAY9
left,[レフトゥ],形,左の,[le（レ）][f（フ）][t（トゥ）]  ※ [l(ル)]  [e(エ)],DAY9
left,[レフトゥ],副,左に,[le（レ）][f（フ）][t（トゥ）]  ※ [l(ル)]  [e(エ)],DAY9
lend,[レンドゥ],動,貸す,[le（レ）][n（ン）][d（ドゥ）],DAY9
live,[リヴ],動,住む/生きる/暮らす※最後のeは発音しない,[li（リ）][ve（ヴ）]  ※ [l(ル)]  [i(イ)],DAY9
long,[ロング],形,長い,[lo（ロ）][n（ン）][g（グ）]  ※ [l(ル)]  [o(オ)],DAY9
luck,[ラック],名,運/幸運,[lu（ラ）][ck（ク）]  ※ [l(ル)]  [u(ア)],DAY10
math,[マス],名,数学,[ma（マ）][th（ス）]  ※ [m(ム)]  [a(ア)],DAY10
milk,[ミルク],名,牛乳,[mi（ミ）][l（ル）][k（ク）]  ※ [m(ム)]  [i(イ)],DAY10
miss,[ミス],動,～を逃す/～がいなくてさびしく思う,[mi（ミ）][ss（ス）],DAY10
must,[マストゥ],助,～しなければならない,[mu（マ）][s（ス）][t（トゥ）]  ※ [m(ム)]  [u(ア)],DAY10
next,[ネクストゥ],形,次の,[ne（ネ）][x（クス）][t（トゥ）]  ※ [n(ヌ)]  [e(エ)],DAY10
pass,[パス],動,通り過ぎる/手渡す/（時が）過ぎる/合格する,[pa（パ）][ss（ス）]  ※ [p(プ)]  [a(ア)],DAY10
plan,[プラン],名,計画,[p（プ）][la（ラ）][n（ン）]  ※ [l(ル)]  [a(ア)],DAY10
plan,[プラン],動,計画する,[p（プ）][la（ラ）][n（ン）]  ※ [l(ル)]  [a(ア)],DAY10
pond,[ポンドゥ],名,池,[po（ポ）][n（ン）][d（ドゥ）]  ※ [p(プ)]  [o(オ)],DAY10
pull,[プル],動,引く/引っ張る,[pu（プ）][ll（ル）]  ※ [p(プ)]  [u(ウ)],DAY10
rock,[ロック],名,岩/（音楽の）ロック,[ro（ロ）][ck（ク）]  ※ [r(ル)]  [o(オ)],DAY11
sell,[セル],動,売る,[se（セ）][ll（ル）]  ※ [s(ス)]  [e(エ)],DAY11
send,[センドゥ],動,送る,[se（セ）][n（ン）][d（ドゥ）],DAY11
sick,[スィック],形,病気の/気分が悪い,[si（スィ）][ck（ク）]  ※ [s(ス)]  [i(イ)],DAY11
soft,[ソフトゥ],形,やわらかい,[so（ソ）][f（フ）][t（トゥ）]  ※ [s(ス)]  [o(オ)],DAY11
stop,[ストップ],動,やめる/止まる,[s（ス）][to（ト）][p（プ）]  ※ [t(トゥ)]  [o(オ)],DAY11
swim,[スウィム],動,泳ぐ,[s（ス）][wi（ウィ）][m（ム）]  ※ [w(ウ)]  [i(イ)],DAY11
tall,[トール],形,背が高い,[tal（トー）][l（ル）]  ※ [t(トゥ)]  [al(オー)],DAY11
tell,[テル],動,話す/伝える/教える,[te（テ）][ll（ル）]  ※ [t(トゥ)]  [e(エ)],DAY11
test,[テストゥ],名,テスト,[te（テ）][s（ス）][t（トゥ）],DAY11
trip,[トゥリップ],名,旅行,[t（トゥ）][ri（リ）][p（プ）]  ※ [r(ル)]  [i(イ)],DAY12
wall,[ウォール],名,壁,[wal（ウォー）][l（ル）]  ※ [w(ウ)]  [al(オー)],DAY12
well,[ウェル],副,上手に/よく,[we（ウェ）][ll（ル）]  ※ [w(ウ)]  [e(エ)],DAY12
well,[ウェル],形,元気な間ええと,[we（ウェ）][ll（ル）]  ※ [w(ウ)]  [e(エ)],DAY12
west,[ウェストゥ],名,西,[we（ウェ）][s（ス）][t（トゥ）],DAY12
west,[ウェストゥ],形,西の,[we（ウェ）][s（ス）][t（トゥ）],DAY12
west,[ウェストゥ],副,西に,[we（ウェ）][s（ス）][t（トゥ）],DAY12
will,[ウィル],助,～するつもりだ/～だろう/～しよう,[wi（ウィ）][ll（ル）]  ※ [w(ウ)]  [i(イ)],DAY12
wind,[ウィンドゥ],名,風,[wi（ウィ）][n（ン）][d（ドゥ）],DAY12
apple,[アップル],名,りんご※最後のeは発音しない,[a（ア）][pp（プ）][le（ル）],DAY12
black,[ブラック],名,黒色,[b（ブ）][la（ラ）][ck（ク）]  ※ [l(ル)]  [a(ア)],DAY12
black,[ブラック],形,黒い,[b（ブ）][la（ラ）][ck（ク）]  ※ [l(ル)]  [a(ア)],DAY12
class,[クラス],名,授業/クラス,[c（ク）][la（ラ）][ss（ス）],DAY12
dress,[ドゥレス],名,ドレス/服装,[d（ドゥ）][re（レ）][ss（ス）]  ※ [r(ル)]  [e(エ)],DAY12
drink,[ドゥリンク],動,飲む,[d（ドゥ）][ri（リ）][n（ン）][k（ク）]  ※ [r(ル)]  [i(イ)],DAY13
fifth,[フィフス],名,5番目/5日,[fi（フィ）][f（フ）][th（ス）]  ※ [f(フ)]  [i(イ)],DAY13
fifty,[フィフティ],名,50,[fi（フィ）][f（フ）][ty（ティ）]  ※ [t(トゥ)]  [y(イー)],DAY13
funny,[ファニー],形,面白い/おかしな,[fu（ファ）][nny（ニー）]  ※ [f（フ）]  [u（ア）]  [n(ヌ)]  [y(イー)],DAY13
glass,[グラス],名,グラス/ガラス,[g（グ）][la（ラ）][ss（ス）]  ※ [l(ル)]  [a(ア)],DAY13
happy,[ハッピー],形,うれしい/幸せな,[ha（ハ）][ppy（ピー）]  ※ [h（フ）]  [a（ア）]  [p(プ)]  [y(イー)],DAY13
hobby,[ホビー],名,趣味,[ho（ホ）][bby（ビー）]  ※ [h（フ）]  [o（オ）]  [b(ブ)]  [y(イー)],DAY13
month,[マンス],名,（暦の）月,[mo（マ）][n（ン）][th（ス）]  ※ [m(ム)]  [o(ア)],DAY13
plant,[プラントゥ],名,植物,[p（プ）][la（ラ）][n（ン）][t（トゥ）],DAY13
sixth,[スィックスス],名,６番目/６日,[si（スィ）][x（クス）][th（ス）]  ※ [s(ス)]  [i(イ)],DAY13
sixty,[スィクスティ],名,60,[si（スィ）][x（クス）][ty（ティ）]  ※ [t(トゥ)]  [y(イー)],DAY14
skill,[スキル],名,技術,[s（ス）][ki（キ）][ll（ル）]  ※ [k(ク)]  [i(イ)],DAY14
small,[スモール],形,小さい,[s（ス）][mal（モー）][l（ル）]  ※ [m(ム)]  [al(オー)],DAY14
smell,[スメル],動,～のにおいがする,[s（ス）][me（メ）][ll（ル）]  ※ [m(ム)]  [e(エ)],DAY14
smell,[スメル],名,におい,[s（ス）][me（メ）][ll（ル）]  ※ [m(ム)]  [e(エ)],DAY14
spend,[スペンドゥ],動,（お金・時間を）費やす,[s（ス）][pe（ペ）][n（ン）][d（ドゥ）]  ※ [p(プ)]  [e(エ)],DAY14
stamp,[スタンプ],名,切手,[s（ス）][ta（タ）][m（ン）][p（プ）]  ※ [t(トゥ)]  [a(ア)],DAY14
stand,[スタンドゥ],動,立つ,[s（ス）][ta（タ）][n（ン）][d（ドゥ）],DAY14
still,[スティル],副,まだ/今でも,[s（ス）][ti（ティ）][ll（ル）]  ※ [t(トゥ)]  [i(イ)],DAY14
sunny,[サニー],形,晴れた,[su（サ）][nny（ニー）]  ※ [s(ス)]  [u(ア)]  [n(ヌ)]  [y(イー)],DAY14
tenth,[テンス],名,１０番目/10日,[te（テ）][n（ン）][th（ス）]  ※ [t(トゥ)]  [e(エ)],DAY14
windy,[ウィンディ],形,風の強い,[wi（ウィ）][n（ン）][dy（ディー）]  ※ [d(ドゥ)]  [y(イー)],DAY15
basket,[バスケット],名,かご,[ba（バ）][s（ス）][ke（ケ）][t（トゥ）]  ※ [k(ク)]  [e(エ)],DAY15
happen,[ハプン],動,起こる※eは発音しない,[ha（ハ）][ppen（プン）] ,DAY15
little,[リトゥル],形,小さい/ほとんど～ない/（aがつくと）少しの～,[li（リ）][tt（トゥ）][le（ル）]           ※ 最後のeは発音しない,DAY15
pocket,[ポケットゥ],名,ポケット,[po（ポ）][cke（ケ）][t（トゥ）]  ※ [ck(ク)]  [e(エ)],DAY15
pretty,[プリティ],形,かわいい,[p（プ）][re（リ）][tty（ティ）]  ※ [r（ル）]  [e（イ）]  [t(トゥ)]  [y(イー)],DAY15
pretty,[プリティ],副,かなり,[p（プ）][re（リ）][tty（ティ）]  ※ [r（ル）]  [e（イ）]  [t(トゥ)]  [y(イー)],DAY15
rabbit,[ラビットゥ],名,ウサギ,[ra（ラ）][bbi（ビ）][t（トゥ）]  ※ [r（ル）]  [a（ア）]  [b(ブ)]  [i(イ)],DAY15
tennis,[テニス],名,テニス,[te（テ）][nni（ニ）][s（ス）]  ※ [t（トゥ）]  [e（エ）]  [n(ヌ)]  [i(イ)],DAY15
fifteen,[フィフティーン],名,15,[fi（フィ）][f（フ）][tee（ティー）][n（ン）]  ※ [t(トゥ)]  [ee(イー)],DAY15
happily,[ハピリー],副,楽しそうに/幸せそうに,[ha（ハ）][ppi（ピ）][ly（リー）]  ※ [l(ル)]  [y(イー)],DAY15
sixteen,[スィックスティーン],名,16,[si（スィ）][x（クス）][tee（ティー）][n（ン）],DAY16
fifteenth,[フィフティーンス],名,15番目/15日,[fi（フィフ）][f（フ）][tee（ティー）][n（ン）][th（ス）],DAY16
sixteenth,[スィックスティーンス],名,１６番目/16日,[si（スィ）][x（クス）][tee（ティー）][n（ン）][th（ス）],DAY16
the,[ザ],冠,その,[the（ザ）],DAY16
that,[ザットゥ],代,あれ/あの,[tha（ザ）][t（トゥ）]  ※ [th(ズ)]  [a(ア)],DAY16
that,[ザットゥ],形,あの/その,[tha（ザ）][t（トゥ）]  ※ [th(ズ)]  [a(ア)],DAY16
that,[ザットゥ],接,～ということ,[tha（ザ）][t（トゥ）]  ※ [th(ズ)]  [a(ア)],DAY16
this,[ディス],代,これ,[thi（ディ）][s（ス）],DAY16
this,[ディス],形,この,[thi（ディ）][s（ス）],DAY16
these,[ズィーズ],代,これら,[th（ズ）][e（イー）][se（ズ）] ,DAY16
these,[ズィーズ],形,これらの※最後のeは発音しない,[th（ズ）][e（イー）][se（ズ）] ,DAY16
those,[ゾウズ],代,あれら/それら,[th（ズ）][o（オウ）][se（ズ）]         ※ 最後のeは発音しない,DAY16
those,[ゾウズ],形,あれらの/それらの,[th（ズ）][o（オウ）][se（ズ）]         ※ 最後のeは発音しない,DAY16
them,[ゼム],代,彼らを[に]/彼女らを[に]/それらを[に],[th（ズ）][e（エ）][m（ム）],DAY16
both,[ボウス],代,両方,[bo（ボウ）][th（ス）]  ※ [b(ブ)]  [o(オウ)],DAY16
both,[ボウス],形,両方の,[bo（ボウ）][th（ス）]  ※ [b(ブ)]  [o(オウ)],DAY16
much,[マッチ],形,多くの/多量の,[mu（マ）][ch（チ）]  ※ [m(ム)]  [u(ア)],DAY17
much,[マッチ],代,多量,[mu（マ）][ch（チ）]  ※ [m(ム)]  [u(ア)],DAY17
much,[マッチ],副,とても,[mu（マ）][ch（チ）]  ※ [m(ム)]  [u(ア)],DAY17
such,[サッチ],形,そのような,[su（サ）][ch（チ）]  ※ [s(ス)]  [u(ア)],DAY17
what,[ワットゥ],代,（疑問詞）何※hは発音しない,[wha（ワ）][t（トゥ）] ,DAY17
when,[ウェン],副,（疑問詞）いつ※hは発音しない,[wh（ウ）][en（エン）],DAY17
where,[ウェア],副,（疑問詞）どこで/どこに※hは発音しない,[whe（ウェ）][re（アー）],DAY17
who,[フー],代,（疑問詞）誰※wは発音しない,[wh（フ）][o（ウー）] ,DAY17
why,[ワイ],副,（疑問詞）なぜ※hは発音しない,[why（ワイ）]  ※ [w(ウ)]  [y(アイ)],DAY17
which,[ウィッチ],代,（疑問詞）どちら/どれ,[whi（ウィ）][ch（チ）]                    ※ hは発音しない,DAY17
which,[ウィッチ],形,（疑問詞）どの,[whi（ウィ）][ch（チ）]                    ※ hは発音しない,DAY17
whose,[フーズ],代,（疑問詞）誰のもの,[who（フー）][se（ズ）]                ※ wとeは発音しない,DAY17
whose,[フーズ],形,誰の～,[who（フー）][se（ズ）]                ※ wとeは発音しない,DAY17
anything,[エニスィング],代,（疑問文で）何か/（否定文で）何も/（肯定文で）何でも,[any（エニー）][th（ス）][ing（イング）],DAY17
something,[サムスィング],代,（肯定文で）何か※eは発音しない,[so（サ）][me（ム）][th（ス）][ing（イング）],DAY18
everything,[エヴリスィング],代,全てのこと/あらゆること※eは発音しない,[e（エ）][ve（ヴ）][ry（リー）][th（ス）][ing（イング）],DAY18
than,[ザン],接,～よりも（→比較級と一緒に使う）,[tha（ザ）][n（ン）]  ※ [th(ズ)]  [a(ア)],DAY18
while,[ワイル],接,～する間に,[whi（ワイ）][le（ル）]  ※ [w(ウ)]  [i(アイ)],DAY18
while,[ワイル],名,しばらくの間※hとeは発音しない,[whi（ワイ）][le（ル）]  ※ [w(ウ)]  [i(アイ)],DAY18
through,[スルー],前,～を通して/～の間ずっと※ghは発音しない,[th（ス）][rough（ルー）]  ※ [r(ル)]  [ou(ウー)],DAY18
without,[ウィザウトゥ],前,～なしで,[wi（ウィ）][th（ズ）][o（ア）][u（ウ）][t（トゥ）],DAY18
with,[ウィズ],前,～と一緒に/～を用いて[た]/～を持った[て],[wi（ウィ）][th（ズ）],DAY18
then,[ゼン],副,そのとき/それから/それなら,[th（ズ）][en（エン）],DAY18
there,[ゼア],副,そこで/そこに,[the（ゼ）][re（アー）]  ※ [th(ズ)]  [e(エ)],DAY18
o’clock,[オクロック],副,～時,[o（オ）][c（ク）][lo（ロ）][ck（ク）]  ※ [l(ル)]  [o(オ)],DAY18
should,[シュッドゥ],助,～すべきだ※lは発音しない,[shoul（シュ）][d（ドゥッ）]  ※ [sh(シ)]  [ou(ウ)],DAY19
quick,[クイック],形,すばやい/速い,[qu（ク）][i（イ）][ck（ク）]  ※ [q(ク)]  [u(ウ)],DAY19
quickly,[クイックリー],副,すばやく/速く,[qu（ク）][i（イ）][ck（ク）][ly（リー）]  ※ [l(ル)]  [y(イー)],DAY19
fresh,[フレッシュ],形,新鮮な,[f（フ）][re（レ）][sh（シ）]  ※ [r(ル)]  [e(エ)],DAY19
rich,[リッチ],形,裕福(ゆうふく)な,[ri（リ）][ch（チ）]  ※ [r(ル)]  [i(イ)],DAY19
wrong,[ロング],形,間違った※wは発音しない,[wro（ロ）][n（ン）][g（グ）]  ※ [r(ル)]  [o(オ)],DAY19
watch,[ウォッチ],動,見る,[wa（ウォ）][tch（チ）]  ※ [w(ウ)]  [a(オ)],DAY19
watch,[ウォッチ],名,腕時計,[wa（ウォ）][tch（チ）]  ※ [w(ウ)]  [a(オ)],DAY19
wash,[ウォッシュ],動,洗う,[wa（ウォ）][sh（シ）],DAY19
wish,[ウィッシュ],動,～を願う/～だといいなと思う,[wi（ウィ）][sh（シ）]  ※ [w(ウ)]  [i(イ)],DAY19
wish,[ウィッシュ],名,願い,[wi（ウィ）][sh（シ）]  ※ [w(ウ)]  [i(イ)],DAY19
sing,[スィング],動,歌う,[si（スィ）][n（ン）][g（グ）] ※ [s(ス)]  [i(イ)],DAY19
think,[スィンク],動,思う/考える,[th（ス）][i（イ）][n（ン）][k（ク）],DAY20
thank,[サンク],動,感謝する,[th（ス）][a（ア）][n（ン）][k（ク）],DAY20
catch,[キャッチ],動,つかまえる,[ca（キャ）][tch（チ）]  ※ [c(ク)]  [a(ア)],DAY20
check,[チェック],動,確認する/調べる,[che（チェ）][ck（ク）]  ※ [ch(チ)]  [e(エ)],DAY20
brush,[ブラッシュ],動,みがく,[b（ブ）][ru（ブラ）][sh（シ）]  ※ [r(ル)]  [u(ア)],DAY20
fish,[フィッシュ],名,魚,[fi（フィ）][sh（シ）]  ※ [f(フ)]  [i(イ)],DAY20
fish,[フィッシュ],動,魚つりをする,[fi（フィ）][sh（シ）]  ※ [f(フ)]  [i(イ)],DAY20
change,[チェインジ],動,変わる/～を変える,[cha（チェイ）][n（ン）][ge（ジ）]  ※ [ch(チ)]  [a(エイ)],DAY20
change,[チェインジ],名,変化/小銭(こぜに),[cha（チェイ）][n（ン）][ge（ジ）]  ※ [ch(チ)]  [a(エイ)],DAY20
finish,[フィニッシュ],動,終える,[fi（フィ）][ni（ニ）][sh（シ）]  ※ [f(フ)]  [i(イ)],DAY20
bring,[ブリング],動,持ってくる/連れてくる,[b（ブ）][ri（リ）][n（ン）][g（グ）]  ※ [r(ル)]  [i(イ)],DAY20
pick,[ピック],動,選ぶ/摘(つ)む,[pi（ピ）][ck（ク）]  ※ [p(プ)]  [i(イ)],DAY20
push,[プッシュ],動,押す,[pu（プ）][sh（シ）]  ※ [p(プ)]  [u(ウ)],DAY21
knock,[ノック],動,（ドアを）ノックする※kは発音しない,[kno（ノ）][ck（ク）] ,DAY21
three,[スリー],名,3,[th（ス）][ree（リー）]  ※ [r(ル)]  [ee(イー)],DAY21
thirteen,[サーティーン],名,13,[thir（サー）][tee（ティー）][n（ン）]  ※ [th(ス)]  [ir(アー)],DAY21
thirty,[サーティ],名,30,[thir（サー）][ty（ティ）]  ※ [t(トゥ)]  [y(イー)],DAY21
third,[サードゥ],名,3番目/3日,[thir（サー）][d（ドゥ）],DAY21
thirteenth,[サーティーンス],名,１３番目/13日,[thir（サー）][tee（ティー）][n（ン）][th（ス）],DAY21
thirtieth,[サーティエス],名,30番目/30日,[thir（サー）][ti（ティ）][e（エ）][th（ス）]  ※ [t(トゥ)]  [i(イ)],DAY21
spring,[スプリング],名,春,[s（ス）][p（プ）][ri（リ）][n（ン）][g（グ）],DAY21
clock,[クロック],名,時計,[c（ク）][lo（ロ）][ck（ク）]  ※ [l(ル)]  [o(オ)],DAY21
