No,英語,日本語,単元
252,surface,表面,section3
253,crop,作物,section3
254,topic,話題/トピック,section3
255,technique,技術,section3
256,status,地位,section3
257,option,選択(の自由),section3
258,reward,報酬,section3
259,race,人種,section3
260,crime,罪/犯罪,section3
261,conflict,争い,section3
262,struggle,闘い,section3
263,context,状況/背景,section3
264,debate,討論/論争,section3
265,fuel,燃料,section3
266,pollution,汚染/公害,section3
267,trend,傾向,section3
268,balance,均衡/バランス,section3
269,traffic,交通,section3
270,strategy,戦略,section3
271,basis,基礎,section3
272,consequence,結果,section3
273,aim,目的/目標,section3
274,ancestor,祖先,section3
275,gene,遺伝子,section3
276,track,跡,section3
277,revolution,革命,section3
278,progress,進歩,section3
279,cognitive,認知の,section3
280,ideal,理想的な,section3
281,efficient,効率的な,section3
282,universal,普遍的な,section3
283,vast,莫大な,section3
284,extra,追加の/余分の,section3
285,entire,全体の/全部の,section3
286,familiar,精通している,section3
287,obvious,明らかな,section3
288,moral,道徳(上)の/倫理的な,section3
289,ordinary,一般の/普通の,section3
290,equal,等しい,section3
291,previous,以前の/前の,section3
292,FALSE,間違った,section3
293,rare,まれな/珍しい,section3
294,legal,法律の,section3
295,independent,独立した,section3
296,extreme,極端な,section3
297,actual,実際の/現実の,section3
298,willing,いとわない/かまわないと思う,section3
299,urban,都市の,section3
300,whereas,~するのに(対し)/~する一方,section3
301,predict,を予言[予測]する,section4
302,examine,を調べる,section4
303,trust,を信頼する,section4
304,stick,を動けなくする,section4
305,emerge,現れる,section4
306,vary,さまざまである,section4
307,release,を放出する,section4
308,divide,を分ける,section4
309,enable,(人)が…できるようにする,section4
310,judge,(を)判断する,section4
311,rely,頼る,section4
312,engage,を従事させる,section4
313,shift,を変える/移す,section4
314,adopt,を採用する,section4
315,acquire,を得る,section4
316,expand,(を)拡大する,section4
317,refuse,を拒む,section4
318,strike,の心を打つ,section4
319,repeat,(を)繰り返す,section4
320,consume,を消費する,section4
321,confuse,を混同する,section4
322,select,を選ぶ/えり抜く,section4
323,evolve,(徐々に)発展する,section4
324,convince,を納得[確信]させる,section4
325,recall,を思い出す,section4
326,destroy,を破壊する,section4
327,preserve,を保存する,section4
328,organize,を準備する,section4
329,warm,(人)に警告[注意]する,section4
330,address,(問題など)に対処する,section4
331,operate,を操作する,section4
332,participate,参加する,section4
333,surround,を取り巻く,section4
334,flow,流れる,section4
335,bore,(人)を退屈させる/うんざりさせる,section4
336,complain,(と)不平[苦情]を言う,section4
337,host,を主催する,section4
338,combine,を結び付ける,section4
339,extend,を伸[延]ばす,section4
340,appreciate,を正当に評価する,section4
341,target,(到達・攻撃)目標,section4
342,element,要素/成分,section4
343,principle,原則/原理,section4
344,phenomenon,現象,section4
345,atmosphere,大気,section4
346,origin,起源,section4
347,personality,個性/性格,section4
348,capacity,(最大)容量/収容能力,section4
349,profit,利益,section4
350,circumstance,状況/事情,section4
351,manner,作法,section4
352,threat,脅威,section4
353,resident,居住者,section4
354,wealth,富,section4
355,institution,機関,section4
356,authority,(関係)当局,section4
357,vote,投票,section4
358,sight,光景,section4
359,campaign,運動,section4
360,fund,基金/資金,section4
361,web,ウェブ,section4
362,symbol,象徴/シンボル,section4
363,analysis,分析(結果),section4
364,version,(本・製品などの)版,section4
365,perspective,観点/見方,section4
366,crisis,危機,section4
367,disaster,災害,section4
368,lecture,講義/講演,section4
369,psychology,心理学,section4
370,gender,(社会的・文化的)性/性別,section4
371,custom,(社会的な)慣習,section4
372,court,裁判所/法廷,section4
373,desert,砂漠,section4
374,soil,土地/土壌,section4
375,agriculture,農業,section4
376,fossil,化石,section4
377,document,(公)文書/書類,section4
378,vocabulary,語彙,section4
379,intelligent,聡明な,section4
380,conscious,意識して/気づいて,section4
381,capable,能力がある,section4
382,accurate,正確な,section4
383,fundamental,基本的な,section4
384,artificial,人口の,section4
385,firm,確固たる,section4
386,overall,総合的な,section4
387,rural,田舎の/田園の,section4
388,military,軍の/軍事(用)の,section4
389,nuclear,核の/原子力の,section4
390,biological,生物学(上)の,section4
391,constant,絶え間ない,section4
392,severe,(人・規律・事態・天気などが)厳しい,section4
393,visual,視覚の,section4
394,enormous,莫大な/巨大な,section4
395,convenient,便利な/都合のいい,section4
396,domestic,家庭の,section4
397,mass,大規模な/大量の,section4
398,typical,典型的な,section4
399,overseas,海外へ[に/で],section4
400,nevertheless,それにもかかわらず,section4
401,demonstrate,を論証[証明]する,section5
402,behave,振る舞う,section5
403,educate,を教育する,section5
404,purchase,を購入する,section5
405,recommend,を勧める,section5
406,admit,を(しぶしぶ)認める,section5
407,generate,を生み出す,section5
408,explore,(を)調査[探究]する,section5
409,amaze,をびっくりさせる,section5
410,tear,を引き裂く,section5
411,settle,を解決する,section5
412,afford,を持つ[する]余裕がある,section5
413,conclude,と結論づける,section5
414,advertise,を宣伝する,section5
415,encounter,に遭遇する,section5
416,remind,に思い出させる,section5
417,locate,位置する,section5
418,aid,を援助する/助ける,section5
419,bite,(を)かむ/(に)かみつく,section5
420,deliver,を配達する,section5
421,perceive,に気づく,section5
422,distinguish,を区別する,section5
423,imply,を暗に意味する,section5
424,handle,を処理する/扱う,section5
425,praise,を賞賛する,section5
426,appeal,訴える,section5
427,insist,(を)強く主張する,section5
428,compete,競う,section5
429,rank,を位置づける/評価する,section5
430,deny,を否定する,section5
431,reject,を拒否する,section5
432,intend,を意図する,section5
433,expose,をさらす,section5
434,favor,に賛成する,section5
435,inspire,(人)を奮起させる,section5
436,propose,を提案する,section5
437,spell,(語)をつづる,section5
438,breathe,呼吸する,section5
439,repair,を修理する,section5
440,consist,成る,section5
441,comment,意見/コメント,section5
442,instruction,指示,section5
443,religion,宗教,section5
444,neighborhood,地域,section5
445,laboratory,実験室/研究室,section5
446,presence,存在,section5
447,confidence,自信,section5
448,harm,害/損害,section5
449,instrument,器具,section5
450,category,部類/区分,section5
451,capital,資本,section5
452,outcome,結果,section5
453,notion,概念/観念,section5
454,review,(書物などの)論評,section5
455,trait,特性,section5
456,diversity,多様性,section5
457,victim,犠牲(者)/被害者,section5
458,occasion,場合/時,section5
459,facility,施設/設備,section5
460,stock,在庫品,section5
461,conference,会議,section5
462,humanity,人類,section5
463,dialect,方言,section5
464,proportion,割合,section5
465,tip,助言/秘訣,section5
466,lawyer,弁護士,section5
467,stuff,(漠然と)物,section5
468,comfort,快適さ,section5
469,philosophy,哲学,section5
470,mammal,哺乳動物,section5
471,quantity,量,section5
472,landscape,風景,section5
473,tribe,部族,section5
474,organ,器官/臓器,section5
475,trial,試み/(品質・性能などの)試験,section5
476,norm,規範；標準,section5
477,code,規範；暗号,section5
478,substance,物質,section5
479,multiple,多様な,section5
480,numerous,非常に数の多い,section5
481,narrow,狭い,section5
482,widespread,広範囲にわたる,section5
483,sufficient,十分な,section5
484,proper,適切な,section5
485,linguistic,言語の/言語学の,section5
486,annual,年１回の/例年の,section5
487,contemporary,現代の,section5
488,contrary,反対の,section5
489,strict,(規則などが)厳しい,section5
490,civil,市民の,section5
491,odd,奇妙な,section5
492,unknown,不明の,section5
493,superior,よりすぐれた,section5
494,sensitive,敏感な,section5
495,violent,(人・気質などが)激しい,section5
496,virtual,仮想の,section5
497,regardless,かまわない/無頓着な,section5
498,immediate,即座の,section5
499,crucial,重要な,section5
500,somewhat,いくぶん/多少,section5
501,interpret,を解釈する,section6
502,translate,を翻訳する,section6
503,concentrate,(を)集中する,section6
504,request,に頼む,section6
505,criticize,を批判する,section6
506,overcome,を克服する,section6
507,obtain,を得る,section6
508,inform,に知らせる,section6
509,ensure,を確実にする,section6
510,announce,を発表[公表]する/知らせる,section6
511,grant,(人)に(許可・権利など)を与える,section6
512,freeze,凍る,section6
513,oppose,に反対する,section6
514,differ,異なる,section6
515,hate,をひどく嫌う,section6
516,emphasize,を強調する,section6
517,employ,を雇う,section6
518,credit,(功績など)を帰する,section6
519,transform,を変える,section6
520,construct,を建設する,section6
521,arise,生じる,section6
522,beat,を打ち負かす,section6
523,regret,を後悔する,section6
524,alter,を変える,section6
525,absorb,を吸収する,section6
526,disappoint,を失望させる,section6
527,cure,を治す,section6
528,transport,を輸送する,section6
529,rush,急いで行く,section6
530,hang,を掛ける,section6
531,blame,を責める,section6
532,ban,を(法的に)禁止する,section6
533,fascinate,を魅了する,section6
534,recover,回復する,section6
535,celebrate,を祝う,section6
536,manufacture,を製造する,section6
537,interact,影響し合う,section6
538,arrange,の段取りをつける,section6
539,adjust,を調整する,section6
540,confirm,を確認する,section6
541,insight,見識/理解(力),section6
542,innovation,革新,section6
543,budget,予算,section6
544,fee,料金,section6
545,expense,経費,section6
546,dept,借金/負債,section6
547,loan,貸付金/融資,section6
548,duty,義務,section6
549,alarm,不安/恐れ,section6
550,emergency,緊急(事態),section6
551,democracy,民主主義/民主政治,section6
552,minister,大臣,section6
553,fellow,仲間/同僚,section6
554,candidate,候補(者),section6
555,corporation,(大)企業,section6
556,stereotype,固定観念,section6
557,route,道(筋),section6
558,disorder,障害/(心身の)不調,section6
559,depression,憂うつ,section6
560,weapon,兵器/武器,section6
561,immigration,(他国からの)移民/移住,section6
562,barrier,障壁,section6
563,disadvantage,不利(な点),section6
564,mood,気分,section6
565,motion,動き/動作,section6
566,routine,決まり切った仕事,section6
567,discipline,規律/しつけ,section6
568,myth,作り話,section6
569,hypothesis,仮説,section6
570,physician,医師,section6
571,client,顧客,section6
572,colony,植民地,section6
573,statistics,統計,section6
574,grain,穀物,section6
575,ingredient,材料/成分,section6
576,treasure,宝物/財宝,section6
577,contract,契約(書),section6
578,welfare,福祉/幸福,section6
579,prime,主要な/最も重要な,section6
580,curious,好奇心の強い,section6
581,dramatic,劇的な,section6
582,distinct,明らかに異なる,section6
583,anxious,心配して,section6
584,vital,必要不可欠な,section6
585,conventional,従来の,section6
586,abstract,抽象的な,section6
587,minor,重要でない,section6
588,extraordinary,並はずれた,section6
589,stable,安定した,section6
590,flexible,融通の利く/柔軟な,section6
591,brief,簡潔な,section6
592,aggressive,攻撃的な,section6
593,visible,(目に)見える,section6
594,unexpected,思いがけない/不意の,section6
595,ethnic,民族の/人種の,section6
596,alien,異質の,section6
597,initial,初めの,section6
598,exact,正確な,section6
599,precise,正確な,section6
600,latter,後者の/後半の,section6
601,commit,献身する,section7
602,stimulate,を刺激する,section7
603,enhance,(価値など)を高める/増す,section7
604,pursue,を追求する,section7
605,react,反応する,section7
606,disagree,不賛成である,section7
607,stare,じっと見る,section7
608,abandon,を捨てる,section7
609,quit,をやめる,section7
610,capture,をとらえる,section7
611,transfer,を移す,section7
612,bother,を悩ます,section7
613,persuade,を説得する,section7
614,rent,を賃借りする,section7
615,breed,を繁殖させる/育てる,section7
616,invest,(を)投資する,section7
617,reserve,を予約する,section7
618,trace,(足跡・起源など)をたどる,section7
619,illustrate,を説明する,section7
620,advise,に忠告[助言]する,section7
621,convey,を伝える,section7
622,attach,を(取り)付ける,section7
623,stretch,を伸ばす,section7
624,puzzle,を当惑させる,section7
625,disturb,をかき乱す,section7
626,crash,衝突する/墜落する,section7
627,cope,うまく処理する,section7
628,permit,を許可する,section7
629,impress,を感動させる,section7
630,suspect,ではないかと思う,section7
631,upset,を動揺させる,section7
632,frighten,(人)を怖がらせる,section7
633,import,を輸入する,section7
634,export,(を)輸出する,section7
635,investigate,を調査する,section7
636,monitor,を監視する,section7
637,calculate,を計算する,section7
638,eliminate,を取り除く,section7
639,ease,を軽減する,section7
640,launch,を開始する,section7
641,sequence,連続,section7
642,therapy,療法,section7
643,symptom,症状,section7
644,incident,出来事/事件,section7
645,witness,目撃者,section7
646,sum,(金)額,section7
647,burden,負担,section7
648,tone,口調,section7
649,honor,光栄,section7
650,award,賞,section7
651,priority,優先(事項),section7
652,logic,論理,section7
653,minimum,最小限度,section7
654,exception,例外,section7
655,clue,手がかり,section7
656,bond,絆,section7
657,virus,ウイルス,section7
658,surgery,(外科)手術,section7
659,insurance,保険,section7
660,frame,枠/(額)縁,section7
661,shelter,避難(所)/保護,section7
662,territory,領土,section7
663,boundary,境界(線),section7
664,habitat,生息地,section7
665,district,地区,section7
666,conservation,(動物などの)保護,section7
667,harvest,収穫(物),section7
668,predator,捕食動物,section7
669,trap,わな,section7
670,trick,こつ,section7
671,fault,責任,section7
672,discount,割引,section7
673,bias,偏見,section7
674,cooperation,協力/共同,section7
675,patent,特許(権),section7
676,dialogue,対話/会話,section7
677,component,構成要素,section7
678,reputation,評判,section7
679,verbal,言葉の,section7
680,internal,内部の,section7
681,solid,しっかりした,section7
682,remote,遠く離れた,section7
683,principal,主要な,section7
684,sophisticated,高性能の/精巧な,section7
685,equivalent,等しい/相当する,section7
686,rational,理性的な,section7
687,relevant,関係がある,section7
688,absolute,絶対的な,section7
689,frequent,頻繁な,section7
690,permanent,永続的な,section7
691,intense,強烈な,section7
692,meaningful,意味のある,section7
693,evil,邪悪な,section7
694,extinct,絶滅した,section7
695,random,無作為の,section7
696,raw,生の,section7
697,rude,無礼な,section7
698,mere,単なる/ほんの,section7
699,tropical,熱帯の,section7
700,forth,前へ/先へ,section7
701,possess,を所有している,section8
702,dominate,を支配する,section8
703,guarantee,を保証する,section8
704,melt,溶ける,section8
705,embarrass,に恥ずかしい思いをさせる,section8
706,discourage,(人)にやる気をなくさせる,section8
707,detect,を感知する,section8
708,devote,をささげる,section8
709,urge,に(強く)促す,section8
710,lend,を貸す,section8
711,restrict,を制限する,section8
712,isolate,を孤立させる,section8
713,accompany,に同行する,section8
714,exhaust,を疲れ果てさせる,section8
715,annoy,を悩ます,section8
716,endanger,を危険にさらす,section8
717,acknowledge,(事実など)を認める,section8
718,admire,に敬服[感心]する,section8
719,evaluate,を評価する,section8
720,declare,を宣言する,section8
721,secure,を確保する,section8
722,specialize,専門とする,section8
723,attribute,(結果など)を帰する,section8
724,pretend,(の)ふりをする,section8
725,bury,を埋める,section8
726,reverse,を逆転させる,section8
727,resist,に抵抗する,section8
728,scare,をおびえさせる,section8
729,imitate,をまねる,section8
730,assist,(を)援助する,section8
731,resemble,に似ている,section8
732,retire,引退する/退職する,section8
733,neglect,をおろそかにする/怠る,section8
734,collapse,崩壊する,section8
735,reform,を改革する,section8
736,protest,(に)抗議する,section8
737,owe,に借りがある,section8
738,sustain,を持続させる,section8
739,assign,を割り当てる,section8
740,accomplish,を成し遂げる,section8
741,wisdom,知恵,section8
742,literacy,読み書きの能力,section8
743,heritage,遺産,section8
744,mission,使命,section8
745,license,免許(証),section8
746,elite,エリート,section8
747,layer,層,section8
748,motor,モーター,section8
749,protein,たんぱく質,section8
750,profession,職業,section8
751,editor,編集者,section8
752,agent,仲介者/代理人,section8
753,globe,地球；世界,section8
754,haven,避難所/保護区,section8
755,row,列,section8
756,sacrifice,犠牲,section8
757,means,手段,section8
758,session,集まり,section8
759,league,(競技)連盟,section8
760,contest,コンテスト/競技(会),section8
761,guard,警備員,section8
762,opponent,(試合・論争などの)相手,section8
763,glance,ちらっと見ること,section8
764,divorce,離婚,section8
765,tissue,(生物の)組織,section8
766,liquid,液体,section8
767,inequality,不平等,section8
768,prejudice,偏見,section8
769,justice,公正/正義,section8
770,guideline,指針/ガイドライン,section8
771,platform,プラットフォーム,section8
772,sector,(社会・経済などの)部門/セクター,section8
773,channel,チャンネル,section8
774,glacier,氷河,section8
775,primate,霊長目の動物,section8
776,usage,(使)用法,section8
777,fortune,財産,section8
778,correlation,相互関係/相関(関係),section8
779,artistic,芸術的な,section8
780,literary,文学の,section8
781,classic,第一級の,section8
782,liberal,自由主義の,section8
783,concrete,具体的な,section8
784,slight,わずかな,section8
785,federal,連邦(政府)の,section8
786,primitive,原始的な,section8
787,unfamiliar,不慣れな,section8
788,subtle,微妙な,section8
789,plain,明らかな,section8
790,marine,海の,section8
791,apparent,明白な,section8
792,reluctant,気が進まない/嫌がる,section8
793,temporary,一時的な,section8
794,guilty,罪悪感のある,section8
795,royal,王の,section8
796,pure,純粋な,section8
797,incredible,信じられない,section8
798,eager,熱望して,section8
799,adequate,十分な,section8
800,via,~経由で,section8
801,assess,を評価する,section9
802,approve,賛成する,section9
803,remark,と述べる,section9
804,pose,(危険)を引き起こす,section9
805,yield,をもたらす,section9
806,exhibit,を示す/見せる,section9
807,distribute,を分配する,section9
808,command,を命じる,section9
809,occupy,(空間・時間)を占める,section9
810,pop,ひょいと動く,section9
811,pile,を積み重ねる,section9
812,greet,に挨拶する,section9
813,apologize,謝る,section9
814,frustrate,をいら立たせる,section9
815,relieve,を和らげる,section9
816,derive,由来する,section9
817,deserve,に値する,section9
818,peer,じっと見る,section9
819,defeat,を負かす,section9
820,convert,を変える,section9
821,wed,と結婚する,section9
822,delight,を喜ばせる,section9
823,boost,を押し上げる,section9
824,endure,に耐える,section9
825,correspond,一致する,section9
826,impose,を課す,section9
827,rescue,を救う,section9
828,resolve,を解決する,section9
829,register,を記録する/登録する,section9
830,interrupt,を中断させる,section9
831,rid,から取り除く/除去する,section9
832,prohibit,を禁止する,section9
833,compose,を構成する,section9
834,misunderstand,(を)誤解する,section9
835,punish,を罰する,section9
836,ruin,をだめにする,section9
837,defend,を防御する,section9
838,embrace,を受け入れる,section9
839,modify,を修正する,section9
840,qualify,(人)に資格を与える,section9
841,passion,情熱,section9
842,enthusiasm,熱情/熱意,section9
843,phase,段階/局面,section9
844,mode,方式,section9
845,span,期間,section9
846,gravity,重力/引力,section9
847,orbit,軌道,section9
848,asteroid,小惑星,section9
849,core,核心,section9
850,soul,精神,section9
851,nerve,神経,section9
852,infection,感染(症),section9
853,mall,モール/ショッピングセンター,section9
854,grocery,食料雑貨,section9
855,humor,ユーモア,section9
856,instinct,本能,section9
857,faith,信頼,section9
858,courage,勇気,section9
859,incentive,動機(づけ),section9
860,prospect,見込み,section9
861,obstacle,障害(物),section9
862,architecture,建築,section9
863,stem,(草木の)茎/幹,section9
864,illusion,錯覚/思い違い,section9
865,discrimination,差別,section9
866,shame,恥,section9
867,drought,干ばつ,section9
868,flavor,風味,section9
869,portion,部分,section9
870,recipe,調理法/レシピ,section9
871,luxury,ぜいたく(品),section9
872,chip,小片/破片,section9
873,ritual,儀式,section9
874,sake,のために/の目的で,section9
875,prefecture,(日本の)県/府,section9
876,council,(地方)議会,section9
877,administration,管理(部),section9
878,curriculum,教育課程/カリキュラム,section9
879,precious,貴重な,section9
880,generous,寛大な,section9
881,casual,何気ない,section9
882,optimistic,楽観的な,section9
883,rough,粗い,section9
884,unpleasant,不愉快な,section9
885,Arctic,北極の,section9
886,ultimate,究極の,section9
887,deaf,耳が聞こえない,section9
888,genuine,本物の,section9
889,manual,体[手]を使う,section9
890,mechanical,機械の,section9
891,instant,即時の/すぐの,section9
892,spare,余分の/予備の,section9
893,immune,免疫を持つ,section9
894,harsh,厳しい,section9
895,collective,集団の/共同の,section9
896,inevitable,避けられない,section9
897,profound,重大な,section9
898,steady,着実な/一定の,section9
899,mature,成熟した,section9
900,likewise,同様に,section9
901,chase,(を)追跡する,section10
902,sue,を告訴する,section10
903,gaze,じっと見る,section10
904,slip,滑る,section10
905,load,に積む,section10
906,overwhelm,を圧倒する,section10
907,wander,歩き回る,section10
908,float,漂う/浮かぶ,section10
909,pour,を注ぐ,section10
910,substitute,を代わりに使う,section10
911,pronounce,を発音する,section10
912,shrink,縮む/縮小する,section10
913,restore,を回復させる,section10
914,trigger,を引き起こす,section10
915,grab,をつかむ,section10
916,retain,を保持する,section10
917,reproduce,を複製する,section10
918,bob,上下に動く,section10
919,entertain,を楽しませる,section10
920,interfere,干渉する/介入する,section10
921,cultivate,を養う,section10
922,underlie,の根底にある,section10
923,anticipate,を予期する,section10
924,justify,を正当化する,section10
925,regulate,を規制する,section10
926,scan,を走査[スキャン]する,section10
927,classify,を分類する,section10
928,submit,を提出する,section10
929,pause,(一時的に)中止する,section10
930,lean,傾く,section10
931,bump,ぶつかる,section10
932,fold,を折り畳む,section10
933,hesitate,躊躇する/ためらう,section10
934,pump,(液体・気体)をポンプで送り込む,section10
935,mount,を据えつける,section10
936,exceed,を超える,section10
937,undergo,を経験する,section10
938,confront,に立ち向かう,section10
939,consult,(に)相談する,section10
940,fulfill,を実現させる,section10
941,privilege,特権/特典,section10
942,formation,形成,section10
943,dimension,側面/局面,section10
944,neuron,ニューロン/神経単位,section10
945,sensation,感覚,section10
946,chart,図/グラフ,section10
947,geography,地理,section10
948,panel,(専門家の)一団,section10
949,semester,(2学期制の)学期,section10
950,workforce,労働人口/総労働力,section10
951,mill,製造工場,section10
952,abuse,乱用,section10
953,vice,(道徳上の)悪,section10
954,fate,運命,section10
955,tragedy,悲劇(的な事態),section10
956,scenario,(予想される)筋書き/事態,section10
957,allergy,アレルギー,section10
958,wound,(銃弾・刃物などによる)傷,section10
959,antibiotic,抗生物質,section10
960,vaccine,ワクチン,section10
961,metaphor,隠喩,section10
962,folk,人々,section10
963,fare,(乗り物の)料金,section10
964,transition,移り変わり,section10
965,maximum,最大限,section10
966,galaxy,星雲/銀河,section10
967,mineral,鉱物,section10
968,skeleton,骨格,section10
