歴史or地理,分野,問題,解答
歴史,幕政の改革,1841年から天保の改革を行った老中はだれか。,水野忠邦
歴史,欧米の進出と日本の開国,1775年にイギリスとの間で独立戦争をはじめ， 1776年に独立宣言を発表した国はどこか。,アメリカ
歴史,欧米の進出と日本の開国,1840年，イギリスがアヘンの取り締まりを強化した清に対して，おこした戦争を何というか。,アヘン戦争
歴史,欧米の進出と日本の開国,1853年，神奈川の浦賀沖に来航し， 日本の開国を求め，翌年， 日米和親条約を結んだアメリカの軍人はだれか。,ペリー
歴史,欧米の進出と日本の開国,1858年，朝廷の許しを得ずに日米修好通商条約を締結し，桜田門外の変で暗殺された人物はだれか。,井伊直弼
歴史,欧米の進出と日本の開国,江戸幕府15代将軍で， 1867年に大政奉還を行った人物はだれか。,徳川慶喜
歴史,明治維新,1868年に明治新政府が新しい政府の方針を発表したものは何か。,五箇条の御誓文
歴史,明治維新,新政府が藩を廃止して府や県を置き、中央から府知事・県令を派遣して中央集権国家をつくろうとした政策を何というか。,廃藩置県
歴史,明治維新,新政府は財源を安定させるために、それまでの年貢をやめ、地価の3%を地租として現金で納めさせた。この政策を何というか。,地租改正
歴史,明治維新,1875年、ロシアとの間で結ばれた国境をめぐる条例を何というか。,樺太・千島交換条約
歴史,自由民権運動と帝国憲法,1874年、民選議員設立の建白書を発表したことから始まった、藩閥政治を批判して、憲法の制定と国会の解説を求めた運動を何というか。,自由民権運動
歴史,自由民権運動と帝国憲法,新政府の政策に不満を持った鹿児島の士族は、西郷隆盛を中心として兵をあげたが、政府の軍隊に敗れた。この戦いを何というか。,西南戦争
歴史,自由民権運動と帝国憲法,1881年の国会開設の勅諭をうけ、自由党を結成した人物はだれか。,板垣退助
歴史,自由民権運動と帝国憲法,1889年に発布された、天皇を主権者とする憲法はなにか。,大日本帝国憲法
歴史,日清・日露戦争と近代日本,1894年、日本と中国との間で始まった戦争を何というか。,日清戦争
歴史,日清・日露戦争と近代日本,1902年、ロシアの南下政策に対抗して、日本とイギリスが結んだ同盟を何というか。,日英同盟
歴史,日清・日露戦争と近代日本,1904年、日本とロシアの間で始まった戦争はなんというか。,日露戦争
歴史,日清・日露戦争と近代日本,孫文が中心となり、清朝を倒し中華民国を建国した革命を何というか。,辛亥革命
歴史,第一次世界大戦とアジア,ドイツを中心とする三国同盟と、イギリスを中心とする三国協商の対立から1914年に戦争はなにか。,第一次世界大戦
歴史,第一次世界大戦とアジア,第一次世界大戦の連合国とドイツの講和条約を何というか。,ベルサイユ条約
歴史,第一次世界大戦とアジア,1919年に中国で起こった、抗日・反帝国主義運動を何というか。,五・四運動
歴史,第一次世界大戦とアジア,1920年につくられた、世界で最初の国際平和組織をなんというか。,国際連盟
歴史,大正デモクラシーと大衆文化,民本主義を唱え、普通選挙による民意を反映した政党政治の確立を主張した人物はだれか。,吉野作造
歴史,大正デモクラシーと大衆文化,1918年、米価が急騰したため、富山県の主婦が米の安売りを要求したことがきっかけとなって起こった全国的な運動は何というか。,米騒動
歴史,大正デモクラシーと大衆文化,1918年、日本で最初の本格的な政党内閣をつくったのはだれか。,原敬
歴史,大正デモクラシーと大衆文化,1925年に普通選挙法と同時に制定された法律で、共産主義を取り締まることを目的とした法律は何か。,治安維持法
歴史,世界恐慌と日本の中国侵略,1929年、アメリカのニューヨークにある証券取引所でおきた株価の暴落がきっかけとなって発生した、世界的な経済混乱をなんというか。,世界恐慌
歴史,世界恐慌と日本の中国侵略,世界恐慌に対し、アメリカのルーズベルト大統領が行った政策を何というか。,ニューディール政策
歴史,世界恐慌と日本の中国侵略,1931年、奉天郊外の柳条湖での満州鉄道の線路爆破事件を中国軍のしわざだとして、関東軍が始めた戦争を何というか。,満州事変
歴史,世界恐慌と日本の中国侵略,海軍の青年将校らが犬養毅首相を暗殺した事件をなんというか。,五・一五事件
歴史,世界恐慌と日本の中国侵略,1937年、北京郊外の盧溝橋でおきた、日中両国軍の衝突からはじまった戦争はなにか。,日中戦争
歴史,第二次世界大戦,1939年、ドイツ軍がポーランドに進行して始まり、世界を巻き込んだ戦争をなんというか。,第二次世界大戦
歴史,第二次世界大戦,1940年に、日本がドイツ・イタリアと結んだ軍事同盟はなにか。,日独伊三国同盟
歴史,第二次世界大戦,1940年、12月8日、日本軍がハワイの真珠湾のアメリカ軍、マレー半島のイギリス軍を攻撃して始まった戦争を何というか。,太平洋戦争（アジア・太平洋戦争）
歴史,第二次世界大戦,日本の降伏条件を示した、アメリカ・イギリス・中国の名で出された宣言はなにか。,ポツダム宣言
歴史,第二次世界大戦,1945年8月6日、世界で最初に原子力爆弾を投下された都市はどこか。,広島
歴史,日本の民主化と国際社会への復帰,第二次世界大戦後に設立された国際平和機構をなんというか。,国際連合
歴史,日本の民主化と国際社会への復帰,戦後の民主化の１つで、企業集団を解体された政策をなんというか。,財閥解体
歴史,日本の民主化と国際社会への復帰,戦後の民主化の１つで、自作農を増やす政策を何というか。,農地改革
歴史,日本の民主化と国際社会への復帰,大日本帝国憲法にかわり、1946年11月3日に公布された憲法はなにか。,日本国憲法
歴史,日本の民主化と国際社会への復帰,1950年に北朝鮮の韓国への進行をきっかけに始まった戦争はなにか。,朝鮮戦争
歴史,日本の民主化と国際社会への復帰,1951年にアメリカなど48か国と結び、日本が独立を回復した条約はなにか。,サンフランシスコ平和条約
歴史,国際社会と日本,第二次世界大戦後のアメリカを中心とした西側の国々と、ソ連を中心とした東側の国々の緊張した関係を何というか。,冷戦
歴史,国際社会と日本,1950年代半ばから1970年代初めにかけて続いた、世界に例を見ない日本の経済発展を何というか。,高度経済成長
歴史,国際社会と日本,日本は中国との間で日中共同声明を発表して国交を回復した。その後、1978年に中国と結んだ条約を何というか。,日中平和友好条約
歴史,国際社会と日本,1973年、第四次中東戦争をきっかけとしておこった、世界的な経済混乱を何というか。,石油危機（オイルショック）
歴史,人類の出現と文明,旧石器時代の人々が使用した，石を打ち欠いただけの石器を何というか。,打製石器
歴史,人類の出現と文明,メソポタミア文明は，チグリス川と何という川の流域で栄えたか。,ユーフラテス川
歴史,人類の出現と文明,紀元前221年，中国を統一した王朝を何というか。,秦
歴史,人類の出現と文明,インドで仏教を開いた人物はだれか。,シャカ
歴史,日本の成り立ち,日本で人々が狩りや漁を中心として生活していた時代，厚手で縄目の文様がある土器が使用された。この土器を何というか。,縄文土器
歴史,日本の成り立ち,西日本から米作りが始まったころ，人々は薄手で固い土器を作るようになった。この土器を何というか。,弥生土器
歴史,日本の成り立ち,3世紀の中国の歴史書には，倭で卑弥呼とよばれる女王が30余りの国を従えていたことが記されている。卑弥呼が治めた国を書け。,邪馬台国
歴史,日本の成り立ち,3世紀後半から，大和地方を中心につくられた大規模な古墳のうち，大仙古墳のような円形と方形を組み合わせた古墳を何とよんでいるか。,前方後円墳
歴史,古代国家の形成,聖徳太子が役人の心得を示すために制定したものは何か。,十七条の憲法
歴史,古代国家の形成,中大兄皇子とともに大化の改新の中心となり，後の藤原氏の祖先となった人物はだれか。,中臣鎌足
歴史,古代国家の形成,班田収授法にもとづいて、人々に与えられた田を何というか。,口分田
歴史,古代国家の形成,壬申の乱に勝利して即位し、天皇中心の国家づくりを進めた天皇はだれか。,天武天皇
歴史,古代国家の形成,701年，大宝律令が制定された。律令にもとづいて政治を行う国家を何というか。,律令国家
歴史,古代国家の形成,平城京は唐の都を参考にしてつくられた。当時，人口が100万人をこえていた唐の都を何というか。,長安
歴史,古代国家の形成,墾田永年私財法により開墾された私有地は，のちに何とよばれるようになったか。,荘園
歴史,古代国家の形成,784年に平城京から長岡京、794年に長岡京から平安京に都を移した天皇はだれか。,桓武天皇
歴史,古代国家の歩み,10世紀中ごろ，瀬戸内で反乱をおこした元国司はだれか。,藤原純友
歴史,古代国家の歩み,藤原氏が行った，摂政や関白となって実権を握った政治を何というか。,摂関政治
歴史,古代国家の歩み,白河天皇が上皇となって行った政治を何というか。,院政
歴史,古代国家の歩み,平清盛が武士として初めて就いた朝廷の役職を何というか。,太政大臣
歴史,鎌倉幕府,1185年，源頼朝が公領，荘園ごとに設置した役職を何というか。,地頭
歴史,鎌倉幕府,鎌倉幕府の将軍と主従関係を結んだ武士を何というか。,御家人
歴史,鎌倉幕府,源氏の将軍が3代で絶えたのをきっかけとして後鳥羽上皇が兵をあげたが，幕府の大軍に敗れた事件を何というか。,承久の乱
歴史,鎌倉幕府,1232年，執権北条泰時が裁判の基準を御家人に示すためにまとめた法律を何というか。,御成敗式目（貞永式目)
歴史,鎌倉幕府,元の皇帝フビライ・ハンが， 1274年と1281年の2度にわたり大軍を派遣して，北九州に攻めてきたことを何というか。,元寇
歴史,鎌倉幕府,鎌倉中期以降幕府や荘園領主に反抗した武士の集団を何というか。,悪党
歴史,室町幕府と戦国大名,鎌倉幕府が滅びたあと，後醍醐天皇がはじめた天皇・公家中心の政治を何というか。,建武の新政
歴史,室町幕府と戦国大名,1338年，足利尊氏が京都に開いた幕府を何というか。,室町幕府
歴史,室町幕府と戦国大名,14世紀後半，モンゴル民族が建てた元にかわり明を建国した民族は何か。,漢民族
歴史,室町幕府と戦国大名,足利義満は，明の要求に応じて倭寇を取り締まり，貿易を始めた。この貿易の際使用された合い札を何というか。,勘合
歴史,室町幕府と戦国大名,鎌倉・室町時代に，港や川などで物資を輸送していた運送業者を何というか。,問丸（問）
歴史,室町幕府と戦国大名,1467年から11年間も続いた応仁の乱の舞台となった都市はどこか。,京都
歴史,室町幕府と戦国大名,下の者が実力で上の身分の者にうち勝つことを何というか。,下剋上
歴史,世界の動きと全国統一,十字軍が派遣される名目となった，キリスト教の聖地はどこか。,エルサレム
歴史,世界の動きと全国統一,14世紀にヨーロッパで始まったルネサンスは，古代ギリシャやどこの文化を学ぽうとしたのか。,ローマ
歴史,世界の動きと全国統一,1543年に種子島に上陸して鉄砲を日本に伝えたのは，どこの国の人か。,ポルトガル
歴史,世界の動きと全国統一,イエズス会の会員であったフランシスコ・ザビエルが，鹿児島に上陸して日本に伝えた宗教は何か。,キリスト教
歴史,世界の動きと全国統一,織田信長が安土城下で行った、市場の税を免除し商工業の発展をはかった政策を何というか。,楽市・楽座
歴史,世界の動きと全国統一,豊臣秀吉が単位を統一して全国的に行った，土地の面積や良し悪し，収穫高などを調べた政策を何というか。,太閤検地
歴史,世界の動きと全国統一,スペイン人やポルトガル人がもたらした，ヨーロッパの学問・技術などを何というか。,南蛮文化
歴史,江戸幕府の成立と鎖国,徳川家康が， 1600年に石田三成らの西軍を破った戦いを何というか。,関ヶ原の戦い
歴史,江戸幕府の成立と鎖国,大名のうち，関ケ原の戦い前後に徳川氏に従った大名を何というか。,外様大名
歴史,江戸幕府の成立と鎖国,徳川家光が武家諸法度に制度化した，大名が1年ごとに領地と江戸を往復することを何というか。,参勤交代
歴史,江戸幕府の成立と鎖国,鎖国下で，オランダ商館が置かれた，長崎湾内の人工島を何というか。,出島
歴史,江戸幕府の成立と鎖国,江戸時代，朝鮮から訪れた使節を何というか。,朝鮮通信使
歴史,産業の発展,江戸時代，商業の中心であった大阪は何とよばれたか。,天下の台所
歴史,産業の発展,徳川家宜・家継のとき政治の中心となり，改革を行った人物はだれか。,新井白石
歴史,産業の発展,江戸時代，新しく田畑を開発することを何というか。,新田開発
歴史,幕政の改革,徳川吉宗が行った，上げ米の制を定めたり， 目安箱を設置させるなどした政治改革を何というか。,享保の改革
歴史,幕政の改革,田沼意次が結成することを奨励した，商工業者の同業者組合を何とい,株仲間
歴史,幕政の改革,田沼意次のあとに老中となった松平定信が行った政治改革を何というか。,寛政の改革
歴史,幕政の改革,ききんなどの発生により生活が苦しくなった農村で，百姓たちが団結して年貢の軽減などを求めた運動を何というか。,百姓一揆
歴史,幕政の改革,1825年に出された異国船打払令は，幕府が外国に対してとってきたどのような政策を堅持するためのものか。,鎖国
歴史,幕政の改革,大塩平八郎が反乱をおこすきっかけとなったききんを何というか。,天保のききん
歴史,幕政の改革,物価を引き下げるために株仲間の解散などを行った，水野忠邦の政治改革を何というか。,天保の改革
歴史,欧米の進出と日本の開国,イギリスからの独立を求めて独立戦争をはじめたアメリカが， 1776年に出した宣言を何というか。,独立宣言
歴史,欧米の進出と日本の開国,アヘン戦争の講和条約を何というか。,南京条約
歴史,欧米の進出と日本の開国,アメリカの使節ペリーが， 1854年に日本との間で結んだ条約を何というか。,日米和親条約
歴史,欧米の進出と日本の開国,1858年，大老井伊直弼が朝廷の許可を得ないままアメリカと結んだ，相手国に領事裁判権を認め、日本に関税自主権のない条約を何というか。,日米修好通商条約
歴史,欧米の進出と日本の開国,1867年，江戸幕府15代将軍徳川慶喜が，政権を朝廷に返還したことを何というか。,大政奉還
歴史,明治維新,明治新政府が行った、一連のさまざまな改革を何というか。,明治維新
歴史,明治維新,新政府が大名の土地と人民の支配権を朝廷に変えさせる形で中央集権をはかった政策を何というか。,版籍奉還
歴史,明治維新,地租改正で土地の所有者に発行された、土地の面積、地価などが記載されたものをなんというか。,地券
歴史,明治維新,1871年、日本と清との間に結ばれた対等な条約を何というか。,日清修好条規
歴史,自由民権運動と帝国憲法,自由民権運動のきっかけとなった、1874年に出された建白書をなんというか。,民撰議院設立の建白書
歴史,自由民権運動と帝国憲法,討幕運動の指導者として活躍したが、政府から離れ、西南戦争の中心となった薩摩藩出身の人物は誰か。,西郷隆盛
歴史,自由民権運動と帝国憲法,1881年、政府は10年後に国会を開くことを約束した。これを受けて、板垣退助らが結成した政党を何というか。,自由党
歴史,自由民権運動と帝国憲法,大日本帝国憲法制定の中心人物で、初代の内閣総理大臣となったのはだれか。,伊藤博文
歴史,日清・日露戦争と近代日本,1895年に結ばれた、日清戦争の講和条約はなにか。,下関条約
歴史,日清・日露戦争と近代日本,日英同盟は何という国の南下政策に対抗して結ばれたものか。,ロシア
歴史,日清・日露戦争と近代日本,1905年に結ばれた、日露戦争の講和条約は何か。,ポーツマス条約
歴史,日清・日露戦争と近代日本,三民主義を唱え、辛亥革命の中心となった人物は誰か。,孫文
歴史,第一次世界大戦とアジア,第一次世界大戦のきっかけとなった、オーストリア皇太子夫妻が暗殺された事件を何というか。,サラエボ事件
歴史,第一次世界大戦とアジア,第一次世界大戦の講和会議を何というか。,パリ講和会議
歴史,第一次世界大戦とアジア,1919年に朝鮮でおこった、独立を求める運動を何というか。,三・一独立運動
歴史,第一次世界大戦とアジア,国際連盟の設立を提唱したアメリカ合衆国大統領はだれか。,ウィルソン
歴史,大正デモクラシーと大衆文化,吉野作造が主張した、普通選挙による民意を政治に反映される考えを何というか。,民本主義
歴史,大正デモクラシーと大衆文化,1917年におきたロシア革命に対して、日本・アメリカなどが軍隊を派遣したことを何というか。,シベリア出兵
歴史,大正デモクラシーと大衆文化,原敬が、陸軍・海軍・外務大臣の閣僚をすべて立憲政友会の党員で組織した内閣を何というか。,政党内閣
歴史,大正デモクラシーと大衆文化,1925年、25歳以上の男子すべてに選挙権を与えた法律をなんというか。,普通選挙法
歴史,世界恐慌と日本の中国侵略,1929年に始まった世界恐慌の原因となった株価の暴落が起こった株式市場のある都市は何というか。,ニューヨーク
歴史,世界恐慌と日本の中国侵略,世界恐慌に対し、イギリス・フランスがとった政策を何というか。,ブロック経済
歴史,世界恐慌と日本の中国侵略,1931年に始まった満州事変は、関東軍が何という鉄道の路線を爆破したことがきっかけとなったのか。,南満州鉄道
歴史,世界恐慌と日本の中国侵略,五・一五事件の4年後、陸軍の青年将校らが軍隊を率いて、有力な政治家を暗殺し、東京の一部を占拠した事件をなんというか。,二・二六事件
歴史,世界恐慌と日本の中国侵略,日中戦争がはじまるきっかけとなる事件がおきた虚構橋は何という都市の郊外に位置しているか。,北京
歴史,第二次世界大戦,第二次世界大戦は、ドイツがどこの国に侵攻したことからはじまったのか。,ポーランド
歴史,第二次世界大戦,1940年に日本は三国同盟を結んだ。この三国とは、日本、ドイツともう１か国はどこか。,イタリア
歴史,第二次世界大戦,太平洋戦争は、日本軍がイギリス軍とどこの国の軍隊を攻撃したことからはじまったのか。,アメリカ
歴史,第二次世界大戦,ポツダム宣言は、連合国のうち3か国の名で発表された。アメリカ、イギリスともう1か国はどこか。,中国
歴史,第二次世界大戦,1945年8月9日に原子爆弾を投下された都市はどこか。,長崎
歴史,日本の民主化と国際社会への復帰,1945年に発足した国際連合の本部がある都市はどこか。,ニューヨーク
歴史,日本の民主化と国際社会への復帰,戦後の教育の民主化にともない1947年に制定された、民主主義の教育の基本を示した法律をなんというか。,教育基本法
歴史,日本の民主化と国際社会への復帰,1947年に制定された、労働条件の最低基準を示した法律はなにか。,労働基準法
歴史,日本の民主化と国際社会への復帰,日本国憲法が施行された年月日を書け,1947年5月3日
歴史,日本の民主化と国際社会への復帰,朝鮮戦争で大韓民国を支援した国連軍の中心となったのはどこの国の軍隊か。,アメリカ
歴史,日本の民主化と国際社会への復帰,1951年にアメリカとの間に結ばれた、日本の安全と東アジアの平和を守るという理由でアメリカ軍の駐留などを認めた条約をなんというか。,日米安全保障条約
歴史,国際社会と日本,冷戦の象徴とされたが、1989年に崩壊した壁をなんというか。,ベルリンの壁
歴史,国際社会と日本,高度経済成長期中に各地で発生した、企業活動を原因とする水質汚濁、大気汚染などの問題を何というか。,公害
歴史,国際社会と日本,1972年、日本が中国との間で発表し国交を正常化した声明はなにか。,日中共同声明
歴史,国際社会と日本,1973年の石油危機は何をきっかけとして発生したか。,（第四次）中東戦争
歴史,人類の出現と文明,20万年ほど前にあらわれた現在の人類の直接の祖先を何というか。,新人（ホモ・サピエンス）
歴史,人類の出現と文明,紀元前8世紀ごろからギリシャで形成された都市国家を何というか。,ポリス
歴史,人類の出現と文明,現在確認されている中国で最も古い王朝を何というか。,殷
歴史,人類の出現と文明,漢が交易で使用した，中央アジアなどを通る古代の東西の路を何というか。,シルクロード（絹の道）
歴史,日本の成り立ち,縄文時代の人々が住んでいた，地面に掘った穴の上に屋根をかけた住居を何というか。,たて穴住居
歴史,日本の成り立ち,縄文時代の人々が，食べ物ののこりかすなどを捨てたところを何というか。,貝塚
歴史,日本の成り立ち,紀元前4世紀ごろ，大陸から稲作と金属器が伝えられたが， この時に伝えられた金属器には鉄器のほかに何があるか。,青銅器
歴史,日本の成り立ち,佐賀県にある弥生時代の大規模な集落の遺跡を何というか。,吉野ヶ里遺跡
歴史,日本の成り立ち,大和政権は5世紀ころには東北地方南部から九州地方までを従えるようになった。このころの大和政権の王は何とよばれていたか。,大王
歴史,日本の成り立ち,古墳の上や周りに置かれた，人物や動物などをかたどったり円筒形をした土器を何というか。,はにわ
歴史,日本の成り立ち,古墳時代には中国や朝鮮から日本に移り住む人々が増え，多くの文化や技術を伝えた。この人々を何とよんでいるか。,渡来人
歴史,日本の成り立ち,6世紀に日本に正式に仏教を伝えた，朝鮮半島にあった国はどこか。,百済
歴史,古代国家の形成,聖徳太子が家柄に関係なく，有能な人材を役人に登用しようとして定めた制度を何というか。,冠位十二階
歴史,古代国家の形成,大化の改新では，それまで天皇や豪族が私有していた土地や人民を国が直接支配するようにした。この政策を何というか。,公地・公民
歴史,古代国家の形成,九州北部の防備のために置かれた兵士を何というか。,防人
歴史,古代国家の形成,仏教の力で国家を守ろうとして，国ごとに国分寺・国分尼寺の建立を命じた天皇はだれか。,聖武天皇
歴史,古代国家の歩み,桓武天皇が東北地方の支配を広げるため，征夷大将軍に任じた人物はだれか。,坂上田村麻呂
歴史,古代国家の歩み,唐から帰国後高野山に金剛峯寺を建て，真言宗を広めたのはだれか。,空海
歴史,古代国家の歩み,唐が滅びた後中国を統一した王朝を何というか。,宋
歴史,古代国家の歩み,念仏を唱えて阿弥陀仏にすがり，死後に極楽浄土に生まれ変わることを願う信仰を何というか。,浄土信仰
歴史,鎌倉幕府,1185年，平氏が滅亡した戦いを何というか。,壇ノ浦の戦い
歴史,鎌倉幕府,鎌倉時代将軍が御家人の領地を保護し新たに手柄があった場合に新い領地を与えることを御恩という。これに対して，御家人が将軍に忠誠を誓い，戦乱がおこった時に将軍のために戦うことを何というか。,奉公
歴史,鎌倉幕府,承久の乱後幕府が朝廷の監視や西国武士を支配するために京都に設置した役所を何というか。,六波羅探題
歴史,鎌倉幕府,鎌倉時代，北条氏が将軍に代わって行った政治を何というか。,執権政治
歴史,鎌倉幕府,13世紀初めにモンゴル民族を統一したのはだれか。,チンギス・ハン
歴史,鎌倉幕府,鎌倉時代に広まった，同じ土地で米の裏作に麦をつくることを何というか。,二毛作
歴史,鎌倉幕府,寺社の門前や交通の要地で決まった日に開かれた市を何というか。,定期市
歴史,室町幕府と戦国大名,建武の新政が2年余りで失敗した後、朝廷が2つに分かれ60年余り続いた戦乱を何というか。,南北朝の動乱
歴史,室町幕府と戦国大名,室町時代に商工業者が結成した同業者組合を何というか。,座
歴史,室町幕府と戦国大名,鎌倉時代の終わりごろから，朝鮮や中国の沿岸をおそった海賊を何というか。,倭寇
歴史,室町幕府と戦国大名,室町時代，農民が荘園領主や守護大名に対して，年貢の軽減を求めたり，幕府に対して徳政令を求めておこした反抗を何というか。,土一揆
歴史,室町幕府と戦国大名,室町時代に農村にできた自治的な組織を何というか。,惣（惣村）
歴史,室町幕府と戦国大名,戦国大名が領国を支配するために定めた法を何というか。,分国法（家法）
歴史,世界の動きと全国統一,カトリック教会の姿勢を批判して， 1517年にドイツで宗教改革を始めたのはだれか。,ルター
歴史,世界の動きと全国統一,1543年，鉄砲を伝えたポルトガル人を乗せた船が漂着した島はどこか。,種子島
