No.,問題,解答
147,～を買うの過去分詞形を答えよ,bought
148,～をつかむの過去分詞形を答えよ,caught
149,来るの過去分詞形を答えよ,come
150,～を切るの過去分詞形を答えよ,cut
151,～をするの過去分詞形を答えよ,done
152,～を描くの過去分詞形を答えよ,drawn
153,～を飲むの過去分詞形を答えよ,drunk
154,～を運転するの過去分詞形を答えよ,driven
155,～を食べるの過去分詞形を答えよ,eaten
156,落ちるの過去分詞形を答えよ,fallen
157,～と感じるの過去分詞形を答えよ,felt
158,～を見つけるの過去分詞形を答えよ,found
159,飛ぶの過去分詞形を答えよ,flown
160,～を忘れるの過去分詞形を答えよ,forgotten
161,～を得るの過去分詞形を答えよ,got/gotten
162,～を与えるの過去分詞形を答えよ,given
163,行くの過去分詞形を答えよ,gone
164,成長するの過去分詞形を答えよ,grown
165,～を持っているの過去分詞形を答えよ,had
166,～を聞く（自然と）の過去分詞形を答えよ,heard
167,～を保つの過去分詞形を答えよ,kept
168,～を知っているの過去分詞形を答えよ,known
169,去る、出発するの過去分詞形を答えよ,left
170,～を貸すの過去分詞形を答えよ,lent
171,～を失うの過去分詞形を答えよ,lost
172,～を作るの過去分詞形を答えよ,made
173,～を意味するの過去分詞形を答えよ,meant
174,～と会うの過去分詞形を答えよ,met
175,～を置くの過去分詞形を答えよ,put
176,～を読むの過去分詞形を答えよ,read
177,～に乗るの過去分詞形を答えよ,ridden
178,上がるの過去分詞形を答えよ,risen
179,走るの過去分詞形を答えよ,run
180,～と言うの過去分詞形を答えよ,said
181,～を見るの過去分詞形を答えよ,seen
182,～を売るの過去分詞形を答えよ,sold
183,～を送るの過去分詞形を答えよ,sent
184,～を見せるの過去分詞形を答えよ,shown
185,歌うの過去分詞形を答えよ,sung
186,座るの過去分詞形を答えよ,sat
187,眠るの過去分詞形を答えよ,slept
188,話すの過去分詞形を答えよ,spoken
189,～を過ごす、費やすの過去分詞形を答えよ,spent
190,立ち上がるの過去分詞形を答えよ,stood
191,泳ぐの過去分詞形を答えよ,swum
192,～を取るの過去分詞形を答えよ,taken
193,～を教えるの過去分詞形を答えよ,taught
194,～を言うの過去分詞形を答えよ,told
195,～と思うの過去分詞形を答えよ,thought
196,～を投げるの過去分詞形を答えよ,thrown
197,～を理解するの過去分詞形を答えよ,understood
198,～を書くの過去分詞形を答えよ,written
199,本の複数形を答えよ,books
200,箱の複数形を答えよ,boxes
201,皿の複数形を答えよ,dishes
202,赤ちゃんの複数形を答えよ,babies
203,都市の複数形を答えよ,cities
204,ナイフの複数形を答えよ,knives
205,友達の複数形を答えよ,friends
206,コップの複数形を答えよ,glasses
207,時計の複数形を答えよ,watches
208,国の複数形を答えよ,countries
209,物語の複数形を答えよ,stories
210,葉の複数形を答えよ,leaves
211,子どもの複数形を答えよ,children
212,足の複数形を答えよ,feet
213,魚の複数形を答えよ,fish
214,男の人の複数形を答えよ,men
215,歯の複数形を答えよ,teeth
216,日本人の複数形を答えよ,Japanese
217,女の人の複数形を答えよ,women
