時代,問題内容,答え
身近な物理現象,100gの物体にはたらく重力の大きさは約何Nか。,約１N
身近な物理現象,ばねにつるすおもりの質量を2倍にすると，ばねののびは何倍になるか。,２倍
身近な物理現象,ばねののびは，ばねにはたらく力の大きさとどのような関係にあるか,比例
身近な物理現象,力を矢印で表すとき，矢印の長さは何に比例させるか,力の大きさ
身近な物理現象,カを矢印で表すとき，矢印の向きは何に一致させるか。,力の向き
身近な物理現象,カを矢印で表すとき，矢印の始点は何に一致させるか。,作用点
身近な物理現象,2カがつり合っているとき，2カの大きさはどのような関係か。,等しい
身近な物理現象,2カがつり合っているとき，2カの向きはどのような関係か。,逆向き
大地の変化,マグマが地表に流れ出たものを何というか。,溶岩
大地の変化,火山噴出物のうち，主成分が水蒸気である気体を何というか,火山ガス
大地の変化,傾斜がゆるやかな火山・ドーム状の火山のうち，マグマのねばりけが強いのはどちらか。,ドーム状の火山
大地の変化,マグマのねばりけが弱いほど，噴火のようすはどのようであるか,おだやか
大地の変化,鉱物のうち，白色～灰色で，決まった方向に割れるものは何か。,長石
大地の変化,鉱物のうち，黒色～褐色で，うすくはがれるものは何か,黒雲母
大地の変化,火山岩・深成岩のうち，斑状組織をもつのはどちらか。,火山岩
大地の変化,斑状組織において，比較的大きな鉱物の部分を何というか。,斑晶
大地の変化,斑状組織において，小さな鉱物の集まりやガラス質の部分を何というか,石基
大地の変化,流紋岩・玄武岩・斑れい岩のうち，ほぼ同じ大きさの鉱物からなるつくりをもつものはどれか,斑れい岩
大地の変化,火山の噴火などの災害発生時に予想される被害や避難場所を整理した地図を何というか。,ハザードマップ
大地の変化,火山の熱を利用した発電を何というか。,地熱発電
大地の変化,地震の波で，伝わる速さが速いのは， P 波• S波のどちらか,P波
大地の変化,P 波によるゆれ• S波によるゆれのうち，ゆれが大きいのはどちらか,S波によるゆれ
大地の変化,地震が発生してから40秒後に，震源からの距離が300kmの地点に小さなゆれが観測された。このとき， P波の伝わる速さは何km/sか。,7.5km/s
大地の変化,震源からの距離が遠いほど，初期微動継続時間はどのようになるか。,長くなる。
大地の変化,日本では，震度は何階級で表されるか。,１０段階
大地の変化,地震などにより，大地がもち上がることを何というか。,隆起
大地の変化,北アメリカプレート・太平洋プレートのうち，海洋プレートはどちらか,太平洋プレート
大地の変化,日本列島の下では，大陸プレート・海洋プレートのうち，どちらがもぐりこむか,海洋プレート
大地の変化,過去にくり返しずれて動き，今後もずれる可能性がある断層を何というか,活断層
大地の変化,地層が地表に現れているところを何というか。,露頭
大地の変化,離れた地層を比べる目印となる層を何というか。,鍵層
大地の変化,れき• 砂・泥のうち，最も沖に堆積するのはどれか。,泥
大地の変化,れき岩• 砂岩・泥岩は，何によって区別するか。,粒の大きさ。
大地の変化,火山灰の層から，堆積当時何があったことがわかるか,火山活動
大地の変化,粒が丸みを帯びているのは，堆積岩・火成岩のどちらか。,堆積岩
大地の変化,地層の堆積した当時の環境が，あたたかくて浅い海であったことがわかる化石は，サンゴ・シジミのどちらか。,サンゴ
大地の変化,サンヨウチュウが生息したのは，古生代・中生代・新生代のどれか。,古生代
大地の変化,中生代の示準化石は，フズリナ・アンモナイト・ビカリアのどれか。,アンモナイト
化学変化と原子・分子,炭酸水素ナトリウムを加熱したときに発生する気体を石灰水に通すと，石灰水はどのようになるか,白くにごる。
化学変化と原子・分子,炭酸水素ナトリウムを加熱したときに発生する液体を青色の塩化コバルト紙につけると，塩化コバルト紙は何色に変化するか。,赤（桃）色
化学変化と原子・分子,炭酸水素ナトリウム・炭酸ナトリウムのうち，水溶液にフェノールフタレイン溶液を加えると，濃い赤色になるのはどちらか。,炭酸ナトリウム
化学変化と原子・分子,酸化銀を加熱したとき，できる物質は何か。2つ答えよ,銀、酸素
化学変化と原子・分子,水に電流を流すとき，電流が流れやすいように水に溶かす物質は何か,水酸化ナトリウム
化学変化と原子・分子,水を電気分解したとき，陽極で発生する気体は何か。,酸素
化学変化と原子・分子,塩化銅水溶液を電気分解したとき，陰極に付着する物質は何か。,銅
化学変化と原子・分子,亜鉛の元素記号を書け。,Zn
化学変化と原子・分子,銀の化学式を書け。,Ag
化学変化と原子・分子,アンモニアの化学式を書け。,NH₃
化学変化と原子・分子,水・空気・鉄・酸化銅•海水・塩素のうち，単体を2つ選べ,鉄、塩素
化学変化と原子・分子,水・空気・鉄・酸化銅•海水・塩素のうち，化合物を2つ選べ,水、酸化銅
化学変化と原子・分子,塩化ナトリウム・水・酸素のうち，分子をつくらない化合物はどれか。,塩化ナトリウム
化学変化と原子・分子,鉄と硫黄の混合物に塩酸を加えたとき，発生する気体は何か。,水素
化学変化と原子・分子,硫化鉄に塩酸を加えると発生する気体は何か。,硫化水素
化学変化と原子・分子,硫化鉄に塩酸を加えると発生する気体は，どのようなにおいか。,腐卵臭
化学変化と原子・分子,鉄と硫黄が反応して硫化鉄ができるときの化学反応式を書け。,Fe＋S→FeS
化学変化と原子・分子,硫黄の蒸気の中に銅線を入れたとき，できる物質は何か。,硫化銅
化学変化と原子・分子,水素と酸素の滉合気体に点火したとき，できる物質は何か。,水
化学変化と原子・分子,水素と酸素が反応して水ができるときの化学反応式を書け。,２H₂＋O₂→２H₂O
化学変化と原子・分子,酸化銅と炭素の混合物を加熱したとき，発生する気体は何か。,二酸化炭素
化学変化と原子・分子,酸化銅と炭素の混合物を加熱したとき，還元された物質は何か,酸化銅
化学変化と原子・分子,酸化銅と炭素の混合物を加熱したときの変化を化学反応式で書け。,２CuO＋C→２Cu＋CO₂
化学変化と原子・分子,鉄と酸素の反応は，発熱反応・吸熱反応のどちらか。,発熱反応
化学変化と原子・分子,水酸化バリウムと塩化アンモニウムの反応は，発熱反応・吸熱反応のどちらか。,吸熱反応
化学変化と原子・分子,スチールウール（鉄）を密閉した容器の中で燃焼させたとき，反応後の容器全体の質量は反応前と比べてどうなるか。,変化しない。
化学変化と原子・分子,スチールウール（鉄）を密閉した容器の中で燃焼させ，反応後に容器のふたを開けると，容器全体の質量は反応前と比べてどうなるか,増加する
化学変化と原子・分子,炭酸水素ナトリウムと塩酸を密閉した容器の中で反応させ，反応後に容器のふたを開けると，容器全体の質量は反応前と比べてどうなるか。,減少する
生物の体のつくりとはたらき,核・葉緑体・液胞•細胞膜•細胞壁のうち，動物の細胞にあるもの2つ選べ。,核、細胞膜
生物の体のつくりとはたらき,ヒトは，単細胞生物・多細胞生物のどちらか,多細胞生物
生物の体のつくりとはたらき,植物の葉や花は，細胞・組織・器官・個体のうち，どれにあたるか。,器官
生物の体のつくりとはたらき,葉の表皮にある三日月形の細胞を何というか,孔辺細胞
生物の体のつくりとはたらき,一般に，気孔は葉の表側・裏側のどちらに多いか,裏側
生物の体のつくりとはたらき,茎の維管束が輪状に並んでいるのは，単子葉類・双子葉類のどちらか,双子葉類
生物の体のつくりとはたらき,根から吸収した水や養分が入るのは，道管・師管のどちらか,道管
生物の体のつくりとはたらき,ヨウ素液はデンプンと反応して，何色に変化するか,青紫色
生物の体のつくりとはたらき,光合成で使われる気体は何か,二酸化炭素
生物の体のつくりとはたらき,光合成でつくられる気体は何か。,酸素
生物の体のつくりとはたらき,光合成・呼吸のうち，植物が1日中行っているのはどちらか。,呼吸
生物の体のつくりとはたらき,調べようとすることがら以外の条件を同じにして行う実験を何というか,対照実験
生物の体のつくりとはたらき,胃液に含まれる消化酵素は何か。,ペプシン
生物の体のつくりとはたらき,胆汁はどこの器官でつくられるか。,肝臓
生物の体のつくりとはたらき,タンパク質は最終的に何に分解されるか。,アミノ酸
生物の体のつくりとはたらき,脂肪は最終的に何に分解されるか。2つ答えよ,脂肪酸、モノグリセリド
生物の体のつくりとはたらき,柔毛で吸収されたプドウ糖は， リンパ管・毛細血管のどちらに入るか,毛細血管
生物の体のつくりとはたらき,肺の呼吸運動が行われるときに上下するのは，ろっ骨と，何という膜か,横隔膜
生物の体のつくりとはたらき,養分や不要な物質を運ぶ血液の成分は何か,血しょう
生物の体のつくりとはたらき,赤血球に含まれる赤色の物質を何というか,ヘモグロビン
生物の体のつくりとはたらき,全身に張りめぐらされた非常に細い血管を何というか,毛細血管
生物の体のつくりとはたらき,右心房・左心房・右心室・左心室のうち，全身に血液を送り出す部屋はどこか,左心室
生物の体のつくりとはたらき,血液が心臓から肺へ向かう動脈に流れているのは，動脈血・静脈血のどちらか,静脈血
生物の体のつくりとはたらき,尿素は，血液によってどこの器官に連ばれてこし出されるか,腎臓
生物の体のつくりとはたらき,骨と骨をつないでいる部分を何というか,関節
生物の体のつくりとはたらき,筋肉の両端の部分の丈夫なつくりを何というか。,けん
生物の体のつくりとはたらき,うでをのばすときに外側の筋肉が収縮すると，内側の筋肉はどうなるか,ゆるむ
生物の体のつくりとはたらき,目のつくりの中で，光の刺激を受けとる細胞がある部分はどこか,網膜
生物の体のつくりとはたらき,感党器官から伝わってきた剌激の信号に対して，どのように反応するかを決定する器官はどこか。2つ答えよ。,脳、脊髄
生物の体のつくりとはたらき,意識して起こす反応・反射のうち，刺激を受けてから反応するまでの時間が短いのはどちらか,反射
電気とその利用,電流は，電源の「＋極から一極」・「一極から＋極」のどちらに流れるか,+極からー極
電気とその利用,１Aは何mAか,１０００ｍA
電気とその利用,電流の大きさが予想できないとき，はじめにつなぐのは，電流計の一端子のうち， 5 A・ 500mA • 50mAのどの端子か。,５A
電気とその利用,直列回路で，各部分での大きさが等しいのは，電流・電圧のどちらか。,電流
電気とその利用,電圧計を回路につなぐときは，直列・並列のどちらでつなぐか。,並列
電気とその利用,電熱線に加わる電圧と流れる電流の間には，どのような関係があるか。,比例
電気とその利用,"抵抗R[Ω],電圧V[V], 電流Ⅰ[A]の関係を， V=( 　)と表したとき、（　 ）にあてはまる式を書け",RI
電気とその利用,"抵抗R[Ω］ ，電圧V[V], 電流I[A]の関係を， R=( 　)と表したとき，（ 　）にあてはまる式を書け。",V/I
電気とその利用,3Ωと5Ωの抵抗を直列につないだとき，回路全体の抵抗は何Ωか,８Ω
電気とその利用,3Ωと6Ωの抵抗を並列につないだとき，回路全体の抵抗は何Ωか,２Ω
電気とその利用,ゴム・銅・ガラス・ニクロムのうち，不導体を2つ選べ,ゴム、ガラス
電気とその利用,１００Vの電圧で1.5Aの電流が流れたときの電力は何Wか,１５０W
電気とその利用,「100V-60W」の電球を100Vの電源につなぐと，何Aの電流が流れるか。,0.6A
電気とその利用,「100V-60W」・「l100V-100W」の扇風機のうち，プロペラがより速く回転するのはどちらか,１００Vー１００W
電気とその利用,1W hは、１Wの電力を何秒間消費したときの電力屋か。また，何Jか。,３６００秒間、３６００J
電気とその利用,同じ種類の電気どうしは，「引き合う」・「反発し合う」のどちらか。,反発しあう
電気とその利用,異なる種類の電気どうしは，「引き合う」・「反発し合う」のどちらか,引き合う
電気とその利用,クルックス管に電圧を加えて蛍光板が光ったとき，電子はクルックス管の十極・一極のどちらから出ているか。,ー極
電気とその利用,陰極線は何の流れか。,電子
電気とその利用,電子の流れる向きは，「＋極から一極」・「一極から＋極」のどちらか,ー極から＋極
電気とその利用,磁界が強いのは，磁力線の間隔が広いところ・せまいところのどちらか。,せまいところ
電気とその利用,磁界の向きは，磁石の何極から何極へ向かっているか。,N極からS極
電気とその利用,磁界の中の電流（導線）が受ける力は，電流が大きくなるとどうなるか。,大きくなる。
電気とその利用,コイルにできる磁界を強くするには，コイルの巻数をどうすればよいか,多くする
電気とその利用,コイルに磁石のN極を近づけたときに検流計の針が右に振れたとすると， N極を遠ざけたとき，針は右・左のどちらに振れるか,左心室
電気とその利用,誘導電流の大きさは，磁界の変化が大きいほどどうなるか,大きくなる。
電気とその利用,コイルの中の磁石を連続的に回転させて電磁誘導を起こし，誘導電流を得る装置を何というか。,発電機
電気とその利用,家庭のコンセントに供給される電流は，直流・交流のどちらか,交流
天気とその変化,雲ができるのは，空気が「上昇するとき」・「下降するとき」のどちらか,上昇するとき
天気とその変化,１気圧は約何hPaか,約１０１３ｈPa
天気とその変化,海面・山頂のうち，気圧がより高いのはどちらか。,海面
天気とその変化,物体にはたらく気圧の大きさは，横方向からと上下方向からで，「異なる」・「同じ」のどちらか。,同じ向き
天気とその変化,スポンジの上に物体を置いたとき，スポンジが物体から受ける圧力が大きいのは，へこみの「大きいほう」・「小さいほう」のどちらか。,大きいほう
天気とその変化,含んでいる水蒸気量が最大になっている空気を，「水蒸気で（　　）している。」という。（ ）にあてはまることばを答えよ。,飽和
天気とその変化,飽和水蒸気量の大きさは，気温が高いほどどうなるか。,大きくなる。
天気とその変化,「雨」を表す天気記号をかけ。,●
天気とその変化,風が東から西へふいているとき，風向は何か。,東
天気とその変化,天気図の等圧線の実線は，何hPaごとに引くか,４ｈPa（ごと）
天気とその変化,強い風がふくのは，等圧線の間隔が広いところ・せまいところのどちらか。,せまいところ
天気とその変化,乾湿計で気温をはかるとき，地上から約何mの高さではかるか。,約１．５ｍ
天気とその変化,乾湿計で気温を読みとる温度計は，乾球・湿球のどちらか。,乾球
天気とその変化,晴れた日で気温が最も高いのは，朝方・昼過ぎ・タ方のうちいつか。,昼過ぎ
天気とその変化,地表付近で中心に向かって風がふきこむのは，高気圧・低気圧のどちらか。,低気圧
天気とその変化,下降気流が生じるのは，高気圧・低気圧のどちらの中心付近か。,高気圧
天気とその変化,寒冷前線付近で発達する雲は何か。,積乱雲
天気とその変化,強いにわか雨が降るのは，寒冷前線・温暖前線のどちらの通過後か。,寒冷前線
天気とその変化,気温が上がるのは，寒冷前線・温暖前線のどちらの通過後か。,温暖前線
天気とその変化,一般に，日本付近の温帯低気圧は，どの方位からどの方位へ移動するか。[,西から東
天気とその変化,地球の大気の動きに大きく影響しているのは，何のエネルギーか。,太陽
天気とその変化,日本付近で発達する3つの気団のうち，あたたかい気団を1つ答えよ,小笠原気団
天気とその変化,日本付近の天気が西から東へ移り変わることが多いのは，何という風の影響を受けているからか。,偏西風
天気とその変化,陸•海のうち，あたたまりやすく冷えやすいのはどちらか。,陸
天気とその変化,晴れた日の昼間に海岸付近でふく風は，海風・陸風のどちらか。,海風
天気とその変化,冬の季節風の風向を， 8方位で答えよ,北西
天気とその変化,初夏に， 2つの気団の勢力がつり合ってできる停滞前線を何というか。,梅雨前線
天気とその変化,春と秋によく見られる，移動していく高気圧を何というか。,移動性高気圧
天気とその変化,熱帯低気圧のうち，最大風速が秒速17.2m以上のものを何というか。,台風
化学変化とイオン,陽子1個がもつ＋の電気の量と電子1個がもつーの電気の量は「等しい」・「異なる」のどちらか,等しい
化学変化とイオン,同じ種類の元素であるが，中性子の数が異なるものを何というか。,同位体
化学変化とイオン,エタノールは，電解質・非電解質のどちらか。,非電解質
化学変化とイオン,塩化銅は，電解質・非電解質のどちらか。,電解質
化学変化とイオン,銅イオンが銅原子になるとき，電子を何個受けとるか。,２個
化学変化とイオン,塩化物イオンが塩素原子になるとき，電子を何個失うか。,１個
化学変化とイオン,塩化銅水溶液を電気分解したとき，陽極で発生する気体の化学式を書け,Cl₂
化学変化とイオン,塩化ナトリウムが電離するようすを，化学式を用いて表せ,NaCl→Na⁺＋Cl‐
化学変化とイオン,水酸化ナトリウムが電離するようすを，化学式を用いて表せ,NaOH→Na⁺＋OH⁻
化学変化とイオン,塩化水素が竃離するようすを，化学式を用いて表せ。,HCl→H⁺＋Cl⁻
化学変化とイオン,塩酸を電気分解したときのようすを，化学反応式で表せ,２HCl→H₂＋Cl₂
化学変化とイオン,アルカリ性の水溶液に無色のフェノールフタレイン溶液を加えると何色になるか,赤色
化学変化とイオン,青色リトマス紙を赤色に変える原因となるイオンは何か。,水素イオン
化学変化とイオン,赤色リトマス紙を青色に変える原因となるイオンは何か。,水酸化物イオン
化学変化とイオン,塩酸と水酸化ナトリウム水溶液の中和によってできる塩は何か,塩化ナトリウム
化学変化とイオン,うすい塩酸に水酸化ナトリウム水溶液を加えていったとき，減少していくイオンは何か,水素イオン
化学変化とイオン,水酸化ナトリウム水溶液にうすい塩酸を加えていったとき，減少していくイオンは何か。,水酸化物イオン
化学変化とイオン,硫酸銅水溶液に亜鉛片を入れると，反応するか，反応しないか。,反応する
化学変化とイオン,銅・亜鉛のうち，よりイオンになりやすいのはどちらか。,亜鉛
化学変化とイオン,硫酸銅水溶液にマグネシウム片を入れると，反応するか，反応しないか,反応する
化学変化とイオン,銅・マグネシウムのうち，よりイオンになりやすいのはどちらか,マグネシウム
化学変化とイオン,硫酸亜鉛水溶液にマグネシウム片を入れると，反応するか，反応しないか。,反応する
化学変化とイオン,亜鉛・マグネシウムのうち，よりイオンになりやすいのはどちらか,マグネシウム
化学変化とイオン,銅と亜鉛を電極とした電池では，＋極になるのはどちらか,銅
化学変化とイオン,マグネシウムと銅を電極とした電池では，＋極になるのはどちらか。,銅
化学変化とイオン,マグネシウムと亜鉛を電極とした電池では，＋極になるのはどちらか,亜鉛
化学変化とイオン,ダニエル電池で，電子は，「亜鉛板から銅板」・「銅板から亜鉛板」のどちらの向きに移動しているか。,亜鉛板から銅板
化学変化とイオン,ダニエル霞池で，亜鉛板ではどのような変化が見られるか。,亜鉛が溶け出す
化学変化とイオン,ダニエル電池で，銅板ではどのような変化が見られるか。,銅が付着する
生物の連続性,タマネギの根の細胞分裂のようすを観察するときに使用するのは，根の根元付近・先端付近のどちらか。,先端付近
生物の連続性,タマネギの根の細胞分裂のようすを観察するとき， 1つ１つの細胞を離れやすくするために，何という水溶液の中であたためるか。,塩酸
生物の連続性,体細胞分裂が行われると， 1つの細胞の中の染色体の数はどうなるか,変わらない。
生物の連続性,体細胞分裂が行われて新しくできたばかりの細胞は，分裂前の細胞と比べて大きさはどのようになっているか。,小さくなっている。
生物の連続性,植物の体の一部が成長して，新しい個体ができる無性生殖を何というか,栄養生殖
生物の連続性,ジャガイモがいもでふえるふえ方は，有性生殖・無性生殖のどちらか,無性生殖
生物の連続性,同じ遺伝子をもつ個体の集団を何というか,クローン
生物の連続性,動物の雌の生殖細胞を何というか。,卵
生物の連続性,動物の雄の生殖細胞は，体の中のどこでつくられるか。,精巣
生物の連続性,植物の雌の生殖細胞は，何の中にできるか。,胚珠
生物の連続性,植物の雄の生殖細胞を何というか,精細胞
生物の連続性,受粉したとき，花粉から胚珠に向かってのびていくものを何というか。,花粉管
生物の連続性,減数分裂によってできた生殖細胞の染色体の数は，もとの細胞の染色体の数の何倍か。,1/2倍
生物の連続性,受精卵の染色体の数は，受精前の生殖細胞の染色体の数の何倍か。,２倍
生物の連続性,受精卵の染色体の数は，親の体細胞の染色体の数の何倍か,１倍
生物の連続性,エンドウの対立形質をもつ純系を使って，遺伝の規則性を調べる実験を行い，分離の法則などの遺伝の規則性を発見したのはだれか,メンデル
生物の連続性,花粉が同じ個体のめしべの柱頭につくことを何というか。,自家受粉
生物の連続性,丸い種子をつくる純系[AA]としわのある種子をつくる純系[aa]のエンドウを交配すると，子は丸い種子だけだった。顕性形質は丸・しわのどちらか。,丸
生物の連続性,遺伝子の本体を，カタカナと漢字をあわせて8字で書け。,デオキシリボ核酸
生物の連続性,イギリスの博物学者で，生物の進化についてまとめた人はだれか,ダーウィン
生物の連続性,両生類は，魚類・は虫類・鳥類・哺乳類のうち，何類から進化したか,魚類
生物の連続性,脊椎動物の多くは，「水中から陸上」・「陸上から水中」のうち，どちらへと適するように進化してきたか。,水中から陸上
生物の連続性,植物の多くは，「水中から陸上」・「陸上から水中」のうち，どちらへと適するように進化してきたか。,水中から陸上
生物の連続性,相同器官のうち，そのはたらきを失って痕跡のみになっている器官を何というか。,痕跡器官
生物の連続性,鳥類に進化したと考えられる，羽毛におおわれた恐竜を何というか,羽毛恐竜
運動エネルギー,圧の大きさは，水の深さが深くなるほどどうなるか。,大きくなる。
運動エネルギー,水中にある物体の体積が大きいほど，物体にはたらく浮力の大きさは どうなるか。,大きくなる。
運動エネルギー,物体にはたらく浮力よりも，物体にはたらく重力のほうが大きいとき、物体は浮くか，沈むか。,沈む。
運動エネルギー,向きが同じ2カを合成したとき，合力の大きさは，もとの2カの大きさの和・差のどちらに等しくなっているか。,和
運動エネルギー,物体の運動を記録タイマーで測定したとき，打点の間隔が広いほど，物体の速さは「速かった」・「遅かった」のどちらか。,速かった
運動エネルギー,斜面上に台車を置いたとき，台車の運動と同じ向きにはたらくのは，重力の「斜面に平行な分力」・「斜面に垂直な分力」のどちらか。,斜面に平行な分力
運動エネルギー,等速直線運動をしている物体の移動距離は，何に比例するか。,時間
運動エネルギー,物体Aから物体Bに力がはたらくとき，物体Aが物体Bから受けるカを何というか,反作用
運動エネルギー,物体に力を加えていなかったり，物体が加えた力の向きに移動していなかったりする場合，仕事をしたと「いえる」・「いえない」のどちらか。,いえない
