テキスト,ページ,問題,答え
学習漢字ノート中１,p13,ハンノウをうかがう,反応
学習漢字ノート中１,p13,力をハッキする,発揮
学習漢字ノート中１,p13,出費をオサエル,抑える
学習漢字ノート中１,p13,花をカンサツする,観察
学習漢字ノート中１,p13,キョウミを持つ,興味
学習漢字ノート中１,p13,ミリョクを感じる,魅力
学習漢字ノート中１,p13,誤りをシテキする,指摘
学習漢字ノート中１,p13,ケイケンを積む,経験
学習漢字ノート中１,p13,大会でユウショウする,優勝
学習漢字ノート中１,p13,雲がウカブ,浮かぶ
学習漢字ノート中１,p13,チュウモクを浴びる,注目
学習漢字ノート中１,p13,二人の顔のカゲエ,影絵
学習漢字ノート中１,p13,イッシュンの出来事,一瞬
学習漢字ノート中１,p13,平和なニチジョウ,日常
学習漢字ノート中１,p13,橋がカカル,架かる
学習漢字ノート中１,p13,シュウヘンを散歩する,周辺
学習漢字ノート中１,p13,事件のハイケイ,背景
学習漢字ノート中１,p13,メズラシイ鳥を飼う,珍しい
学習漢字ノート中１,p13,ビタミンのハタラキ,働き
学習漢字ノート中１,p13,オクの部屋へ通す,奥
学習漢字ノート中１,p13,ケガワのコート,毛皮
学習漢字ノート中１,p13,ウワアゴが痛い,上顎
学習漢字ノート中１,p15,判断がムズカシイ,難しい
学習漢字ノート中１,p15,カンタンに述べる,簡単
学習漢字ノート中１,p15,ごみをステル,捨てる
学習漢字ノート中１,p15,ケショウを落とす,化粧
学習漢字ノート中１,p15,自分の席にスワル,座る
学習漢字ノート中１,p15,ショウレイな建物,秀麗
学習漢字ノート中１,p15,山肌がロシュツする,露出
学習漢字ノート中１,p15,波風がアライ,荒い
学習漢字ノート中１,p15,縄でシバル,縛る
学習漢字ノート中１,p15,実力をタメス,試す
学習漢字ノート中１,p15,二つをヒカクする,比較
学習漢字ノート中１,p15,要点をトラエル,捉える
学習漢字ノート中１,p15,カイテイ第四版,改訂
学習漢字ノート中１,p15,犯人にソウイない,相違
学習漢字ノート中１,p15,熟したアマ果物,甘い
学習漢字ノート中１,p15,赤んボウをだく,坊
学習漢字ノート中１,p15,弟をカンビョウする,看病
学習漢字ノート中１,p15,スープの味がウスイ,薄い
学習漢字ノート中１,p15,ルイジ点が多い,類似
学習漢字ノート中１,p15,イスを並べる,椅子
学習漢字ノート中１,p15,フセンをつける,付箋
学習漢字ノート中１,p15,リンゴがイタム,傷む
学習漢字ノート中１,p15,資料をケンサクする,検索
学習漢字ノート中１,p15,ジュンジョよく話す,順序
学習漢字ノート中１,p15,説明をクワエル,加える
学習漢字ノート中１,p17,シュウイを見わたす,周囲
学習漢字ノート中１,p17,テキの意表をつく,敵
学習漢字ノート中１,p17,キケンなプレー,危険
学習漢字ノート中１,p17,原因をスイソクする,推測
学習漢字ノート中１,p17,正式メイショウで呼ぶ,名称
学習漢字ノート中１,p17,知人をタズネル,訪ねる
学習漢字ノート中１,p17,電車をオリル,降りる
学習漢字ノート中１,p17,出席をカクニンする,確認
学習漢字ノート中１,p17,サバクが広がる,砂漠
学習漢字ノート中１,p17,暖かいキコウ,気候
学習漢字ノート中１,p17,木をバッサイする,伐採
学習漢字ノート中１,p17,栄養をオギナウ,補う
学習漢字ノート中１,p17,議論をテンカイする,展開
学習漢字ノート中１,p17,ヘイレツにつなぐ,並列
学習漢字ノート中１,p17,利益がルイカする,累加
学習漢字ノート中１,p17,トビラを開ける,扉
学習漢字ノート中１,p17,カギをかける,鍵
学習漢字ノート中１,p17,ドアに手をカケル,掛ける
学習漢字ノート中１,p17,進路をセンタクする,選択
学習漢字ノート中１,p17,岩を取りノゾク,除く
学習漢字ノート中１,p17,政策をテンカンする,転換
学習漢字ノート中１,p17,友人にレンラクする,連絡
学習漢字ノート中１,p17,注意ジコウを記す,事項
学習漢字ノート中１,p17,ジュンユウショウとなる,準優勝
学習漢字ノート中１,p17,重要なコトガラ,事柄
学習漢字ノート中１,p19,気温がコウカする,降下
学習漢字ノート中１,p19,鳥がツバサを広げる,翼
学習漢字ノート中１,p19,ツユ明けの空,梅雨
学習漢字ノート中１,p19,相乗コウカを生む,効果
学習漢字ノート中１,p19,カロヤカな足取り,軽やか
学習漢字ノート中１,p19,ダンスをオドル,踊る
学習漢字ノート中１,p19,ヒユの多い文章,比喩
学習漢字ノート中１,p19,ロープをハル,張る
学習漢字ノート中１,p19,ヤミが広がる,闇
学習漢字ノート中１,p19,インキョ生活を送る,隠居
学習漢字ノート中１,p19,役割をアタエル,与える
学習漢字ノート中１,p19,ハチの巣の観察,蜂
学習漢字ノート中１,p19,学校へムカエに行く,迎え
学習漢字ノート中１,p19,ギジン法を使う,擬人
学習漢字ノート中１,p19,不思議なゲンショウ,現象
学習漢字ノート中１,p19,ハンプクして覚える,反復
学習漢字ノート中１,p19,トウチ法を用いる,倒置
学習漢字ノート中１,p19,ヨインが残る,余韻
学習漢字ノート中１,p19,トチュウで投げ出す,途中
学習漢字ノート中１,p19,説明をショウリャクする,省略
学習漢字ノート中１,p19,ツイク表現を探す,対句
学習漢字ノート中１,p19,セイゼンとした部屋,整然
学習漢字ノート中１,p19,クツをはく,靴
学習漢字ノート中１,p19,カメを助ける,亀
学習漢字ノート中１,p19,テキカクに伝える,的確
学習漢字ノート中１,p21,気持ちがユレル,揺れる
学習漢字ノート中１,p21,ヨットのホを張る,帆
学習漢字ノート中１,p21,予定がカサナル,重なる
学習漢字ノート中１,p21,ジショを引く,辞書
学習漢字ノート中１,p21,情報をキョウユウする,共有
学習漢字ノート中１,p21,シュンジに気付く,瞬時
学習漢字ノート中１,p21,ホウフな経験,豊富
学習漢字ノート中１,p21,道をタズネル,尋ねる
学習漢字ノート中１,p21,損害をアタエル,与える
学習漢字ノート中１,p21,新聞にノル,載る
学習漢字ノート中１,p21,ミチなる世界,未知
学習漢字ノート中１,p21,最善をツクス,尽くす
学習漢字ノート中１,p21,複雑なケイジョウ,形状
学習漢字ノート中１,p21,火に強いトクセイ,特性
学習漢字ノート中１,p21,カミナリが落ちる,雷
学習漢字ノート中１,p21,歌声がヒビク,響く
学習漢字ノート中１,p21,ゲキレツな競争社会,激烈
学習漢字ノート中１,p21,画期的なハッソウ,発想
学習漢字ノート中１,p21,ニンシキを深める,認識
学習漢字ノート中１,p21,タトエバの話だ,例えば
学習漢字ノート中１,p21,キンチョウをほぐす,緊張
学習漢字ノート中１,p21,駅までのキョリ,距離
学習漢字ノート中１,p21,満月がカガヤク,輝く
学習漢字ノート中１,p21,手紙をトドケル,届ける
学習漢字ノート中１,p21,文化をソウゾウする,創造
学習漢字ノート中１,p23,ゴイが豊富だ,語彙
学習漢字ノート中１,p23,フダン通りに過ごす,普段
学習漢字ノート中１,p23,実力をタクワエル,蓄える
学習漢字ノート中１,p23,ミナで決める,皆
学習漢字ノート中１,p23,ハズカシク思う,恥ずかしく
学習漢字ノート中１,p23,よくニタ兄弟,似た
学習漢字ノート中１,p23,形からレンソウする,連想
学習漢字ノート中１,p23,メンボクを保つ,面目
学習漢字ノート中１,p23,オモはゆい思い出,面目
学習漢字ノート中１,p23,きまりがワルイ,悪い
学習漢字ノート中１,p23,カタミがせまい,肩身
学習漢字ノート中１,p23,ビミョウに異なる,微妙
学習漢字ノート中１,p23,歯をミガク,磨く
学習漢字ノート中１,p23,カダイに取り組む,課題
学習漢字ノート中１,p23,独立をセンゲンする,宣言
学習漢字ノート中１,p23,ギモンを持つ,疑問
学習漢字ノート中１,p23,クワシク調べる,詳しく
学習漢字ノート中１,p23,史実にモトヅク,基づく
学習漢字ノート中１,p23,机をナラベル,並べる
学習漢字ノート中１,p23,巻末のサクイン,索引
学習漢字ノート中１,p23,別紙をサンショウする,参照
学習漢字ノート中１,p23,ケンチク家になる,建築
学習漢字ノート中１,p23,試験ハンイが広い,範囲
学習漢字ノート中１,p23,部屋にダレもいない,誰
学習漢字ノート中１,p23,情報をハッシンする,発信
学習漢字ノート中１,p25,クフウをこらす,工夫
学習漢字ノート中１,p25,的をシボル,絞る
学習漢字ノート中１,p25,船に乗りコム,込む
学習漢字ノート中１,p25,政党にショゾクする,所属
学習漢字ノート中１,p25,ソシキを改革する,組織
学習漢字ノート中１,p25,商品をホウソウする,包装
学習漢字ノート中１,p25,タイサクを講じる,対策
学習漢字ノート中１,p25,ヒガイを抑える,被害
学習漢字ノート中１,p25,本をエツランする,閲覧
学習漢字ノート中１,p25,予算をサクゲンする,削減
学習漢字ノート中１,p25,ソザイを見つける,素材
学習漢字ノート中１,p25,ソッコウに落ちる,側溝
学習漢字ノート中１,p25,新セイヒンの情報,製品
学習漢字ノート中１,p25,命令をテッテイする,徹底
学習漢字ノート中１,p25,リュウイ点を示す,留意
学習漢字ノート中１,p25,チョシャを調べる,著者
学習漢字ノート中１,p25,キョカが下りる,許可
学習漢字ノート中１,p25,ズイヒツを書く,随筆
学習漢字ノート中１,p25,カイガを収集する,絵画
学習漢字ノート中１,p25,ギリシャチョウコク,彫刻
学習漢字ノート中１,p25,マンガを描く,漫画
学習漢字ノート中１,p25,ジュギョウで挙手する,授業
学習漢字ノート中１,p25,規則をジュンシュする,遵守
学習漢字ノート中１,p25,カンソウ文を書く,感想
学習漢字ノート中１,p25,ホキョウ工事をする,補強
学習漢字ノート中１,p27,家族にショウカイする,紹介
学習漢字ノート中１,p27,ハバが広がる,幅
学習漢字ノート中１,p27,背がノビル,伸びる
学習漢字ノート中１,p27,カレは親切だ,彼
学習漢字ノート中１,p27,上着をヌグ,脱ぐ
学習漢字ノート中１,p27,ウデを組む,腕
学習漢字ノート中１,p27,キオクレする,気後れ
学習漢字ノート中１,p27,キョウギ人口が減る,競技
学習漢字ノート中１,p27,追加点をユルス,許す
学習漢字ノート中１,p27,イッセイに動く,一斉
学習漢字ノート中１,p27,準備にヨネンがない,余念
学習漢字ノート中１,p27,シアワセを感じる,幸せ
学習漢字ノート中１,p27,中世のマジョ,魔女
学習漢字ノート中１,p27,ソボの思い出,祖母
学習漢字ノート中１,p27,コッカクの模型,骨格
学習漢字ノート中１,p27,オゴソカな卒業式,厳か
学習漢字ノート中１,p27,ドウ上げをする,胴
学習漢字ノート中１,p27,くつをハク,履く
学習漢字ノート中１,p27,新入社員をトル,採る
学習漢字ノート中１,p27,注目をアビル,浴びる
学習漢字ノート中１,p27,事件のカクシン,核心
学習漢字ノート中１,p27,小耳にハサム,挟む
学習漢字ノート中１,p27,ウエキバチを置く,植木鉢
学習漢字ノート中１,p27,タナにあげる,棚
学習漢字ノート中１,p27,部屋のスミに隠れる,隅
学習漢字ノート中１,p29,シグレが降る,時雨
学習漢字ノート中１,p29,ボクは中学生だ,僕
学習漢字ノート中１,p29,クウシュウをのがれる,空襲
学習漢字ノート中１,p29,ヒコウキに乗る,飛行機
学習漢字ノート中１,p29,バクダンが落ちる,爆弾
学習漢字ノート中１,p29,穴をホル,掘る
学習漢字ノート中１,p29,家をルスにする,留守
学習漢字ノート中１,p29,椅子にスワル,座る
学習漢字ノート中１,p29,スープの味がウスイ,薄い
学習漢字ノート中１,p29,米をハイキュウする,配給
学習漢字ノート中１,p29,空きカンを拾う,缶
学習漢字ノート中１,p29,アマイ香りがする,甘い
学習漢字ノート中１,p29,おカシを食べる,菓子
学習漢字ノート中１,p29,月が雲にカクレル,隠れる
学習漢字ノート中１,p29,いなかにソカイする,疎開
学習漢字ノート中１,p29,サンサイの妹,三歳
学習漢字ノート中１,p29,シンセキを訪ねる,親戚
学習漢字ノート中１,p29,イナカで暮らす,田舎
学習漢字ノート中１,p29,かばんをワスレル,忘れる
学習漢字ノート中１,p29,ヒッシに勉強する,必死
学習漢字ノート中１,p29,ニモツを運ぶ,荷物
学習漢字ノート中１,p29,気持ちがユレル,揺れる
学習漢字ノート中１,p29,フクオカの屋台,福岡
学習漢字ノート中１,p29,ケイリュウで遊ぶ,渓流
学習漢字ノート中１,p29,川にソウ道,沿う
学習漢字ノート中１,p31,モモの節句を祝う,桃
学習漢字ノート中１,p31,トウゲンキョウの伝説,桃源郷
学習漢字ノート中１,p31,ボールがハズム,弾む
学習漢字ノート中１,p31,雲が空をオオウ,覆う
学習漢字ノート中１,p31,お金をカリル,借りる
学習漢字ノート中１,p31,橋をワタル,渡る
学習漢字ノート中１,p31,部品をコウカンする,交換
学習漢字ノート中１,p31,対応にコマル,困る
学習漢字ノート中１,p31,席がトナリになる,隣
学習漢字ノート中１,p31,休みがホシイ,欲しい
学習漢字ノート中１,p31,仕事からハナレル,離れる
学習漢字ノート中１,p31,水を口にフクム,含む
学習漢字ノート中１,p31,栄養シッチョウになる,失調
学習漢字ノート中１,p31,洗たく物がカワク,乾く
学習漢字ノート中１,p31,エンリョのない意見,遠慮
学習漢字ノート中１,p31,川の水がスム,澄む
学習漢字ノート中１,p31,ドクトクな感性,独特
学習漢字ノート中１,p31,ヒトカゲが見える,人影
学習漢字ノート中１,p31,カンゴ師になる,看護
学習漢字ノート中１,p31,バクゲキを受ける,爆撃
学習漢字ノート中１,p31,部屋をカス,貸す」
学習漢字ノート中１,p31,スギイタで棚を作る,杉板
学習漢字ノート中１,p31,予算をケズル,削る
学習漢字ノート中１,p31,シュッカンの時間だ,出棺
学習漢字ノート中１,p31,カナ書きの文章,仮名
学習漢字ノート中１,p33,火花がチル,散る
学習漢字ノート中１,p33,隅にヨセル,寄せる
学習漢字ノート中１,p33,ボタンをオス,押す
学習漢字ノート中１,p33,オレの生き方,俺
学習漢字ノート中１,p33,学習ジュクに入る,塾
学習漢字ノート中１,p33,計算がトクイだ,得意
学習漢字ノート中１,p33,センパイを見習う,先輩
学習漢字ノート中１,p33,カッコウがつかない,格好
学習漢字ノート中１,p33,ロウカが広い,廊下
学習漢字ノート中１,p33,ヒマをつぶす,暇
学習漢字ノート中１,p33,日程をケイジする,掲示
学習漢字ノート中１,p33,景色をナガメル,眺める
学習漢字ノート中１,p33,スリ傷が増える,擦り
学習漢字ノート中１,p33,ゴカイを招く,誤解
学習漢字ノート中１,p33,イジを張る,意地
学習漢字ノート中１,p33,コウスイをつける,香水
学習漢字ノート中１,p33,旅行にサソウ,誘う
学習漢字ノート中１,p33,シンゾウが高鳴る,心臓
学習漢字ノート中１,p33,顔をソムケル,背ける
学習漢字ノート中１,p33,エイゾウが美しい,映像
学習漢字ノート中１,p33,ブッソウな世の中,物騒
学習漢字ノート中１,p33,来た道をモドル,戻る
学習漢字ノート中１,p33,クチビルが薄い,唇
学習漢字ノート中１,p33,アツイお茶を飲む,熱い
学習漢字ノート中１,p33,野原をカケル,駆ける
学習漢字ノート中１,p35,ヒンケツを治す,貧血
学習漢字ノート中１,p35,梅雨入りがオソイ,遅い
学習漢字ノート中１,p35,タマシイを込める,魂
学習漢字ノート中１,p35,アツイ日が続く,暑い
学習漢字ノート中１,p35,センサイな神経,繊細
学習漢字ノート中１,p35,実態をサグル,探る
学習漢字ノート中１,p35,歯をミガク,磨く
学習漢字ノート中１,p35,ヒカゲで咲く花,日陰
学習漢字ノート中１,p35,アンモクのルール,暗黙
学習漢字ノート中１,p35,窓をフク,拭く
学習漢字ノート中１,p35,イガイな結果,意外
学習漢字ノート中１,p35,そよ風がフク,吹く
学習漢字ノート中１,p35,声がヒクイ,低い
学習漢字ノート中１,p35,ナミダがこぼれる,涙
学習漢字ノート中１,p35,ジョウリョクジュの葉,常緑樹
学習漢字ノート中１,p35,雑草をカル,刈る
学習漢字ノート中１,p35,ヒミツを守る,秘密
学習漢字ノート中１,p35,観測用のキチ,基地
学習漢字ノート中１,p35,もうダイジョウブだ,大丈夫
学習漢字ノート中１,p35,部屋をソウジする,掃除
学習漢字ノート中１,p35,ヤッカイな仕事だ,厄介
学習漢字ノート中１,p35,ボウシをかぶる,帽子
学習漢字ノート中１,p35,頭をカカエル,抱える
学習漢字ノート中１,p35,距離がチヂマル,縮まる
学習漢字ノート中１,p35,ごみをヒロウ,拾う
学習漢字ノート中１,p37,ごみをステル,捨てる
学習漢字ノート中１,p37,ネコの顔ほどの庭,猫
学習漢字ノート中１,p37,事実にソクして考える,即
学習漢字ノート中１,p37,タガイに助け合う,互い
学習漢字ノート中１,p37,オキナワ県の海,沖縄
学習漢字ノート中１,p37,思いのホカ暑い,外
学習漢字ノート中１,p37,ユウエキな情報,有益
学習漢字ノート中１,p37,経験のウム,有無
学習漢字ノート中１,p37,サトウの甘み,砂糖
学習漢字ノート中１,p37,ドシャを運ぶ,土砂
学習漢字ノート中１,p37,セイカの候,盛夏
学習漢字ノート中１,p37,ゲシが来る,夏至
学習漢字ノート中１,p37,一国のシュショウ,首相
学習漢字ノート中１,p37,チキを得る,知己
学習漢字ノート中１,p37,ガイトウがともる,街灯
学習漢字ノート中１,p37,ガイドウを歩く,街道
学習漢字ノート中１,p37,ノウドを求める,濃度
学習漢字ノート中１,p37,悲報にゴウキュウする,号泣
学習漢字ノート中１,p37,正直にシンコクする,申告
学習漢字ノート中１,p37,本をショモウする,所望
学習漢字ノート中１,p37,ギコウをこらす,技巧
学習漢字ノート中１,p37,ノウリョウ祭り,納涼
学習漢字ノート中１,p37,交通をシャダンする,遮断
学習漢字ノート中１,p37,ジュウドウを習う,柔道
学習漢字ノート中１,p37,フンベツある大人,分別
学習漢字ノート中１,p39,小学校でナラウ,習う
学習漢字ノート中１,p39,大会でユウショウする,優勝
学習漢字ノート中１,p39,テツボウが得意だ,鉄棒
学習漢字ノート中１,p39,器械タイソウを習う,体操
学習漢字ノート中１,p39,コッキを掲げる,国旗
学習漢字ノート中１,p39,領土へのヘンカン,返還
学習漢字ノート中１,p39,ニルイシュを任す,二塁手
学習漢字ノート中１,p39,レスリングのオオワザ,大技
学習漢字ノート中１,p39,カッサイを浴びる,喝采
学習漢字ノート中１,p39,ホウガン投げの選手,砲丸
学習漢字ノート中１,p39,説明に時間をサク,割く
学習漢字ノート中１,p39,キュウドウ部に入る,弓道
学習漢字ノート中１,p39,野球のシンパン員,審判
学習漢字ノート中１,p39,班長をツトメル,務める
学習漢字ノート中１,p39,レンパをとげる,連覇
学習漢字ノート中１,p39,記録をコウシンする,更新
学習漢字ノート中１,p39,カイヒン公園で遊ぶ,海浜
学習漢字ノート中１,p39,プロにヒッテキする,匹敵
学習漢字ノート中１,p39,資格をソウシツする,喪失
学習漢字ノート中１,p39,モチュウのはがき,喪中
学習漢字ノート中１,p39,サクサンのにおい,酢酸
学習漢字ノート中１,p39,コウタクのある石,光沢
学習漢字ノート中１,p39,サワ伝いに歩く,沢
学習漢字ノート中１,p39,ドンテンの日が続く,曇天
学習漢字ノート中１,p39,ジングウへの参拝,神宮
学習漢字ノート中１,p41,ココチよくねむる,心地
学習漢字ノート中１,p41,ヒマワリがサク,咲く
学習漢字ノート中１,p41,幼いコロからの友達,頃
学習漢字ノート中１,p41,ホオを染める,頬
学習漢字ノート中１,p41,ムネの内を明かす,胸
学習漢字ノート中１,p41,モヨウがえをする,模様
学習漢字ノート中１,p41,全国にブンプする,分布
学習漢字ノート中１,p41,正体をアラワス,現す
学習漢字ノート中１,p41,ホウフな経験,豊富
学習漢字ノート中１,p41,熊のハンショク期,繫殖
学習漢字ノート中１,p41,新年をムカエル,迎える
学習漢字ノート中１,p41,エサを与える,餌
学習漢字ノート中１,p41,人生のテンキ,転機
学習漢字ノート中１,p41,期限がセマル,迫る
学習漢字ノート中１,p41,台風がセッキンする,接近
学習漢字ノート中１,p41,武力でイカクする,威嚇
学習漢字ノート中１,p41,ヘビが鳥をオソウ,襲う
学習漢字ノート中１,p41,鳥は虫のテンテキだ,天敵
学習漢字ノート中１,p41,例をアゲル,挙げる
学習漢字ノート中１,p41,原因をブンセキする,分析
学習漢字ノート中１,p41,ケイカイを強める,警戒
学習漢字ノート中１,p41,調査タイショウを選ぶ,対象
学習漢字ノート中１,p41,カセツを立てる,仮説
学習漢字ノート中１,p41,用語をテイギする,定義
学習漢字ノート中１,p41,ジョウキョウを判断する,状況
学習漢字ノート中１,p43,花びらがマウ,舞う
学習漢字ノート中１,p43,代金をハラウ,払う
学習漢字ノート中１,p43,ジッサイに作業を行う,実際
学習漢字ノート中１,p43,ショウコが見つかる,証拠
学習漢字ノート中１,p43,英文をカイシャクする,解釈
学習漢字ノート中１,p43,イカリに燃える,怒り
学習漢字ノート中１,p43,ショウサイに報告する,詳細
学習漢字ノート中１,p43,戦争のキョウイ,脅威
学習漢字ノート中１,p43,賞をカクトクする,獲得
学習漢字ノート中１,p43,観客をミリョウする,魅了
学習漢字ノート中１,p43,漁業がサカンだ,盛んだ
学習漢字ノート中１,p43,物音にオドロク,驚く
学習漢字ノート中１,p43,心からシンライする,信頼
学習漢字ノート中１,p43,タンテイの事務所,探偵
学習漢字ノート中１,p43,キソを固める,基礎
学習漢字ノート中１,p43,セイタイケイの調査,生態系
学習漢字ノート中１,p43,見るタビに思い出す,度
学習漢字ノート中１,p43,ナエを植える,苗
学習漢字ノート中１,p43,商品をシュッカする,出荷
学習漢字ノート中１,p43,神社のケイダイ,境内
